Quarter,Time,Tm,Detail,MIN,GNB
1.0,9:26,Vikings,Blair Walsh 33 yard field goal,3,0
,0:28,Packers,DuJuan Harris 9 yard rush (Mason Crosby kick),3,7
2.0,3:25,Packers,Mason Crosby 20 yard field goal,3,10
,0:38,Packers,John Kuhn 3 yard rush (Mason Crosby kick),3,17
3.0,9:25,Packers,John Kuhn 9 yard pass from Aaron Rodgers (Mason Crosby kick),3,24
4.0,3:39,Vikings,Michael Jenkins 50 yard pass from Joe Webb (Blair Walsh kick),10,24
