Unnamed: 0,DAL,WAS
First Downs,19,14
Rush-Yds-TDs,35-122-0,23-100-1
Cmp-Att-Yd-TD-INT,22-39-211-1-2,15-34-175-1-1
Sacked-Yards,4-10,5-51
Net Pass Yards,201,124
Total Yards,323,224
Fumbles-Lost,2-0,3-3
Turnovers,2,4
Penalties-Yards,7-60,7-65
Third Down Conv.,7-18,3-14
Fourth Down Conv.,0-0,1-2
Time of Possession,34:29,25:31
