Quarter,Time,Tm,Detail,LAC,LVR
1,5:56,Chargers,Hunter Henry 10 yard pass from Justin Herbert (Michael Badgley kick),7,0
,0:55,Raiders,Daniel Carlson 23 yard field goal,7,3
2,9:19,Raiders,Darren Waller 35 yard pass from Marcus Mariota (Daniel Carlson kick),7,10
,1:52,Chargers,Michael Badgley 22 yard field goal,10,10
,0:19,Chargers,Tyron Johnson 26 yard pass from Justin Herbert (Michael Badgley kick),17,10
3,7:18,Raiders,Josh Jacobs 1 yard rush (Daniel Carlson kick),17,17
,2:08,Chargers,Kalen Ballage 1 yard rush (Michael Badgley kick),24,17
4,6:16,Raiders,Marcus Mariota 2 yard rush (Daniel Carlson kick),24,24
OT,3:18,Raiders,Daniel Carlson 23 yard field goal,24,27
,1:29,Chargers,Justin Herbert 1 yard rush,30,27
