Quarter,Time,Down,ToGo,Location,LAC,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LVR 25,0,0,Josh Jacobs right guard for 1 yard (tackle by Kyzir White),0.610,0.200
1,14:25,2,9,LVR 26,0,0,Derek Carr pass complete short left to Nelson Agholor for 6 yards (tackle by Chris Harris),0.200,0.300
1,13:39,3,3,LVR 32,0,0,Derek Carr pass incomplete short right intended for Hunter Renfrow,0.300,-1.240
1,13:35,4,3,LVR 32,0,0,"AJ Cole punts 56 yards, returned by K.J. Hill for 10 yards (tackle by Kyle Wilber)",-1.240,-0.410
1,13:25,1,10,LAC 22,0,0,Austin Ekeler left tackle for 3 yards (tackle by Maurice Hurst and Nick Kwiatkoski),0.410,0.270
1,12:47,2,7,LAC 25,0,0,Justin Herbert pass complete short middle to Austin Ekeler for 8 yards (tackle by Nick Kwiatkoski and Cory Littleton),0.270,1.140
1,12:08,1,10,LAC 33,0,0,Austin Ekeler left tackle for no gain (tackle by Raekwon McMillan and Carl Nassib),1.140,0.590
1,11:30,2,10,LAC 33,0,0,Keenan Allen left tackle for -1 yards (tackle by Erik Harris),0.590,-0.230
1,10:47,3,11,LAC 32,0,0,Justin Herbert pass complete short middle to Hunter Henry for 14 yards (tackle by Lamarcus Joyner),-0.230,1.990
1,10:05,1,10,LAC 46,0,0,Austin Ekeler left tackle for 4 yards (tackle by Jahleel Addae and Kendal Vickers),1.990,1.990
1,9:24,2,6,LAC 50,0,0,Justin Herbert pass complete short right to Tyron Johnson for 18 yards (tackle by Trayvon Mullen),1.990,3.450
1,8:41,1,10,LVR 32,0,0,Kalen Ballage right end for -4 yards (tackle by Carl Nassib),3.450,2.360
1,8:05,2,14,LVR 36,0,0,Justin Herbert pass complete short right to Mike Williams for 8 yards (tackle by Trayvon Mullen),2.360,2.740
1,7:22,3,6,LVR 28,0,0,Justin Herbert pass complete short right to Keenan Allen for 17 yards (tackle by Trayvon Mullen),2.740,4.840
1,6:41,1,10,LVR 11,0,0,Austin Ekeler left tackle for 1 yard (tackle by Johnathan Hankins and Raekwon McMillan),4.840,4.320
1,6:02,2,9,LVR 10,6,0,"Justin Herbert pass complete short middle to Hunter Henry for 10 yards, touchdown",4.320,7.000
1,5:56,,,LVR 15,7,0,Michael Badgley kicks extra point good,0.000,0.000
1,5:56,,,LAC 35,7,0,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
1,5:56,1,10,LVR 25,7,0,Derek Carr pass complete short middle to Josh Jacobs for 17 yards (tackle by Rayshawn Jenkins),0.610,1.730
1,5:08,1,10,LVR 42,7,0,Josh Jacobs right tackle for 20 yards (tackle by Jaylen Watkins),1.730,3.050
1,4:30,1,10,LAC 38,7,0,Derek Carr pass incomplete short left,3.050,2.510
1,4:24,2,10,LAC 38,7,0,Josh Jacobs up the middle for 3 yards (tackle by Linval Joseph and Isaac Rochell),2.510,2.210
1,3:42,3,7,LAC 35,7,0,Derek Carr pass complete deep left to Nelson Agholor for 30 yards (tackle by Jaylen Watkins),2.210,6.060
1,2:56,1,5,LAC 5,7,0,Josh Jacobs left guard for 3 yards (tackle by Isaac Rochell and Chris Harris),6.060,5.720
1,2:14,2,2,LAC 2,7,0,Josh Jacobs right guard for no gain (tackle by Linval Joseph),5.720,4.950
1,1:35,3,2,LAC 2,7,0,Derek Carr sacked by Nick Vigil for -3 yards,4.950,3.010
1,1:00,4,5,LAC 5,7,3,Daniel Carlson 23 yard field goal good,3.010,3.000
1,0:55,,,LVR 35,7,3,"Daniel Carlson kicks off 60 yards, returned by Joshua Kelley for 21 yards (tackle by Cory Littleton)",0.000,0.670
1,0:50,1,10,LAC 26,7,3,Justin Herbert pass complete short left to K.J. Hill for 5 yards (tackle by Raekwon McMillan),0.670,0.810
1,0:18,2,5,LAC 31,7,3,"Penalty on Keenan Allen: False Start, 5 yards (no play)",0.810,0.130
1,0:03,2,10,LAC 26,7,3,Justin Herbert pass complete deep left to Tyron Johnson for 17 yards (tackle by Erik Harris),0.130,1.800
Quarter,Time,Down,ToGo,Location,LAC,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAC 43,7,3,Justin Herbert pass complete short left to Austin Ekeler for 3 yards (tackle by Nick Kwiatkoski),1.800,1.660
2,14:21,2,7,LAC 46,7,3,Joshua Kelley left tackle for 3 yards (tackle by Dallin Leavitt and Maurice Hurst),1.660,1.350
2,13:41,3,4,LAC 49,7,3,Justin Herbert pass incomplete short left intended for Jalen Guyton,1.350,-0.130
2,13:36,4,4,LAC 49,7,3,"Ty Long punts 37 yards, fair catch by Hunter Renfrow at LV-14",-0.130,0.280
2,13:29,1,10,LVR 14,7,3,Devontae Booker right guard for 2 yards (tackle by Uchenna Nwosu and Cortez Broughton),-0.280,-0.510
2,12:51,2,8,LVR 16,7,3,Marcus Mariota pass complete deep left to Foster Moreau for 22 yards (tackle by Casey Hayward),-0.510,1.470
2,12:13,1,10,LVR 38,7,3,Devontae Booker right guard for 3 yards (tackle by Uchenna Nwosu and Rayshawn Jenkins),1.470,1.330
2,11:33,2,7,LVR 41,7,3,Marcus Mariota pass complete short middle to Darren Waller for 13 yards (tackle by Michael Davis),1.330,2.520
2,10:53,1,10,LAC 46,7,3,Marcus Mariota right end for 11 yards (tackle by Uchenna Nwosu),2.520,3.250
2,10:11,1,10,LAC 35,7,3,Josh Jacobs left guard for no gain (tackle by Isaac Rochell and Nick Vigil),3.250,2.700
2,9:26,2,10,LAC 35,7,9,"Marcus Mariota pass complete deep left to Darren Waller for 35 yards, touchdown",2.700,7.000
2,9:19,,,LAC 15,7,10,Daniel Carlson kicks extra point good,0.000,0.000
2,9:19,,,LVR 35,7,10,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,9:19,1,10,LAC 25,7,10,Kalen Ballage up the middle for 9 yards (tackle by Nick Kwiatkoski),0.610,1.280
2,8:47,2,1,LAC 34,7,10,Kalen Ballage left guard for 2 yards (tackle by Arden Key),1.280,1.330
2,8:09,1,10,LAC 36,7,10,Justin Herbert pass complete short right to Jalen Guyton for 12 yards (tackle by Dallin Leavitt and Cory Littleton),1.330,2.130
2,7:22,1,10,LAC 48,7,10,Justin Herbert pass complete short right to Hunter Henry for 15 yards (tackle by Trayvon Mullen),2.130,3.120
2,6:33,1,10,LVR 37,7,10,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Carl Nassib),3.120,2.570
2,6:31,2,10,LVR 37,7,10,Austin Ekeler up the middle for 5 yards (tackle by Carl Nassib and Nick Kwiatkoski),2.570,2.540
2,5:44,3,5,LVR 32,7,10,Justin Herbert pass complete short middle to Hunter Henry for 7 yards (tackle by Nick Kwiatkoski),2.540,3.910
2,5:07,1,10,LVR 25,7,10,Jalen Guyton left tackle for 4 yards (tackle by Trayvon Mullen),3.910,3.900
2,4:29,2,6,LVR 21,7,10,Kalen Ballage right end for 1 yard (tackle by Daryl Worley and Lamarcus Joyner),3.900,3.340
2,3:47,3,5,LVR 20,7,10,Justin Herbert pass complete short left to Jalen Guyton for 11 yards,3.340,5.140
2,3:09,1,9,LVR 9,7,10,Austin Ekeler right guard for 2 yards (tackle by Maurice Hurst),5.140,4.760
2,2:30,2,7,LVR 7,7,10,Austin Ekeler left tackle for 3 yards (tackle by Daryl Worley),4.760,4.490
2,2:00,3,4,LVR 4,7,10,Justin Herbert pass incomplete short left intended for Keenan Allen,4.490,3.030
2,1:56,4,4,LVR 4,10,10,Michael Badgley 22 yard field goal good,3.030,3.000
