Unnamed: 0,LAC,LVR
First Downs,27,27
Rush-Yds-TDs,29-96-2,41-173-2
Cmp-Att-Yd-TD-INT,22-32-314-2-0,20-33-279-1-1
Sacked-Yards,1-8,1-3
Net Pass Yards,306,276
Total Yards,402,449
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,3-20,6-69
Third Down Conv.,7-12,5-13
Fourth Down Conv.,0-0,4-4
Time of Possession,31:00,37:31
