Unnamed: 0,DAL,WAS
First Downs,24,17
Rush-Yds-TDs,22-103-0,23-89-0
Cmp-Att-Yd-TD-INT,31-48-282-1-0,15-32-171-0-0
Sacked-Yards,1-5,1-10
Net Pass Yards,277,161
Total Yards,380,250
Fumbles-Lost,1-1,2-0
Turnovers,1,0
Penalties-Yards,12-81,5-42
Third Down Conv.,5-13,3-13
Fourth Down Conv.,1-1,0-1
Time of Possession,34:03,25:57
