Quarter,Time,Tm,Detail,DAL,WAS
1,4:25,Redskins,Graham Gano 29 yard field goal,0,3
2,0:00,Redskins,DeAngelo Hall 32 yard defensive fumble return (Graham Gano kick),0,10
3,1:41,Cowboys,Miles Austin 4 yard pass from Tony Romo (David Buehler kick),7,10
4,1:50,Redskins,Graham Gano 49 yard field goal,7,13
