Unnamed: 0,TAM,MIN
First Downs,16,18
Rush-Yds-TDs,33-73-0,17-41-0
Cmp-Att-Yd-TD-INT,21-34-173-2-0,33-44-344-2-1
Sacked-Yards,1-4,2-16
Net Pass Yards,169,328
Total Yards,242,369
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,3-19,6-45
Third Down Conv.,6-17,6-14
Fourth Down Conv.,1-1,0-0
Time of Possession,30:39,29:21
