Quarter,Time,Down,ToGo,Location,SEA,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,SEA 30,0,0,"Rian Lindell kicks off 61 yards, returned by Terrence Wilkins for 17 yards (tackle by Ryan Hannam)",0.000,0.670
1,14:55,1,10,STL 26,0,0,Marshall Faulk middle for 2 yards (tackle by Isaiah Kacyvenski),0.670,0.400
1,14:11,2,8,STL 28,0,0,Marc Bulger pass complete to Terrence Wilkins for -2 yards (tackle by Antonio Cochran),0.400,-0.560
1,13:34,3,10,STL 26,0,0,Marc Bulger pass incomplete intended for Marshall Faulk,-0.560,-1.630
1,13:29,4,10,STL 26,0,0,"Mitch Berger punts 37 yards, returned by Bobby Engram for 11 yards (tackle by Courtland Bullard)",-1.630,-2.130
1,13:21,1,10,SEA 48,0,0,Shaun Alexander middle for 8 yards (tackle by Jeff Zgonina and Dexter McCleon),2.130,2.660
1,12:47,2,2,STL 44,0,0,Shaun Alexander right guard for 6 yards (tackle by Tommy Polley and Aeneas Williams),2.660,3.050
1,12:14,1,10,STL 38,0,0,Trent Dilfer pass incomplete intended for Koren Robinson,3.050,2.510
1,12:09,2,10,STL 38,0,0,Trent Dilfer pass complete to Itula Mili for 4 yards (tackle by Kim Herring),2.510,2.340
1,11:29,3,6,STL 34,0,0,Trent Dilfer pass complete to Koren Robinson for 4 yards (tackle by Adam Archuleta),2.340,1.500
1,10:46,4,2,STL 30,0,0,Rian Lindell 48 yard field goal no good,1.500,-1.470
1,10:41,1,10,STL 38,0,0,Marc Bulger pass incomplete intended for Brandon Manumaleuna,1.470,0.920
1,10:35,2,10,STL 38,0,0,Marshall Faulk left guard for 6 yards (tackle by Chad Brown),0.920,1.020
1,9:55,3,4,STL 44,0,0,Marc Bulger pass complete to Ricky Proehl for 23 yards (tackle by Marcus Robertson),1.020,3.380
1,9:25,1,10,SEA 33,0,0,Marc Bulger pass incomplete intended for Brandon Manumaleuna,3.380,2.840
1,9:17,2,10,SEA 33,0,0,Terrence Wilkins middle for 9 yards (tackle by Antonio Cochran),2.840,3.340
1,8:30,2,10,SEA 33,,,Timeout #1 by Los Angeles Rams,2.840,3.340
1,8:30,3,1,SEA 24,0,0,Marshall Faulk right tackle for 1 yard (tackle by Marcus Bell),3.340,4.040
1,7:54,1,10,SEA 23,0,0,Marshall Faulk left guard for 6 yards (tackle by Doug Evans and Rocky Bernard),4.040,4.380
1,7:16,2,4,SEA 17,0,0,Marshall Faulk right guard for 8 yards (tackle by Shawn Springs),4.380,5.140
1,6:45,1,9,SEA 9,0,0,Marshall Faulk right tackle for 3 yards (tackle by Isaiah Kacyvenski and Anton Palepoi),5.140,4.950
1,6:06,2,6,SEA 6,0,6,"Marc Bulger pass complete to Marshall Faulk for 6 yards, touchdown",4.950,7.000
1,6:06,,,SEA 6,0,7,Jeff Wilkins kicks extra point good,0.000,0.000
1,6:06,,,STL 30,0,7,"Jeff Wilkins kicks off 62 yards, returned by Maurice Morris for 16 yards (tackle by Nick Sorensen). Penalty on Robert Thomas: Offside on Free Kick, 5 yards (no play)",0.000,0.000
1,6:06,,,STL 25,0,7,"Jeff Wilkins kicks off 68 yards, out of bounds",0.000,1.930
1,5:55,1,10,SEA 45,0,7,Trent Dilfer pass incomplete intended for Bobby Engram (defended by Ryan Pickett),1.930,1.380
1,5:51,2,10,SEA 45,0,7,Shaun Alexander right end for -1 yards (tackle by Adam Archuleta and Ryan Pickett),1.380,0.560
1,5:13,3,11,SEA 44,0,7,Trent Dilfer sacked by Tyoka Jackson for -6 yards,0.560,-0.850
1,4:53,4,17,SEA 38,0,7,"Jeff Feagles punts 45 yards, fair catch by Terrence Wilkins",-0.850,0.060
1,4:44,1,10,STL 17,0,7,Marshall Faulk left tackle for 40 yards (tackle by Shawn Springs),-0.060,2.720
1,3:56,1,10,SEA 43,0,7,Marc Bulger pass complete to Lamar Gordon for -2 yards (tackle by Isaiah Kacyvenski),2.720,1.910
1,3:14,2,12,SEA 45,0,7,Marc Bulger pass incomplete intended for Brandon Manumaleuna (defended by Marcus Bell),1.910,1.220
1,3:08,3,12,SEA 45,0,7,Marc Bulger pass complete to Marshall Faulk for 7 yards (tackle by Doug Evans),1.220,0.720
1,2:48,4,5,SEA 38,0,7,"Mitch Berger punts 28 yards, fair catch by Bobby Engram",0.720,0.380
1,2:40,1,10,SEA 10,0,7,Trent Dilfer pass incomplete intended for Darrell Jackson (defended by Aeneas Williams),-0.380,-0.780
1,2:36,2,10,SEA 10,0,7,Shaun Alexander left tackle for 3 yards (tackle by Brian Young),-0.780,-1.070
1,1:53,3,7,SEA 13,0,7,Trent Dilfer pass complete to Shaun Alexander for 16 yards (tackle by Aeneas Williams),-1.070,0.870
1,1:15,1,10,SEA 29,0,7,Trent Dilfer sacked by Brian Young and Tyoka Jackson for -2 yards,0.870,0.060
1,0:39,2,12,SEA 27,0,7,"Trent Dilfer pass incomplete intended for Darrell Jackson. Penalty on Dre' Bly: Illegal Use of Hands, 5 yards (no play)",0.060,1.070
1,0:34,1,10,SEA 32,0,7,Trent Dilfer pass incomplete intended for Koren Robinson,1.070,0.530
1,0:28,2,10,SEA 32,0,7,Shaun Alexander right tackle for 9 yards (tackle by Kim Herring and Ryan Pickett),0.530,1.030
Quarter,Time,Down,ToGo,Location,SEA,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,SEA 41,0,7,Shaun Alexander right guard for no gain (tackle by Jamie Duncan and Tommy Polley),1.030,-0.650
2,14:14,4,1,SEA 41,0,7,"Jeff Feagles punts 49 yards, fair catch by Terrence Wilkins",-0.650,0.380
2,14:06,1,10,STL 10,0,7,Marshall Faulk left tackle for 9 yards (tackle by Marcus Robertson),-0.380,0.240
2,13:24,2,1,STL 19,0,7,Marshall Faulk middle for 9 yards (tackle by Marcus Robertson),0.240,0.810
2,12:40,1,10,STL 28,0,7,Terrence Wilkins left end for 9 yards (tackle by Ken Lucas),0.810,1.480
2,11:56,2,1,STL 37,0,7,Marshall Faulk right tackle for 2 yards (tackle by Anton Palepoi),1.480,1.530
2,11:15,1,10,STL 39,0,7,Marc Bulger pass complete to Isaac Bruce for 20 yards (tackle by Shawn Springs),1.530,2.850
2,10:29,1,10,SEA 41,0,7,Marc Bulger pass incomplete intended for Ricky Proehl (defended by Ken Lucas),2.850,2.310
2,10:22,1,10,SEA 41,,,Timeout #2 by Los Angeles Rams,2.850,2.310
2,10:22,2,10,SEA 41,0,7,Marc Bulger pass complete to Marshall Faulk for 9 yards (tackle by Isaiah Kacyvenski),2.310,2.810
2,9:40,3,1,SEA 32,0,7,Marshall Faulk right end for 2 yards (tackle by Marcus Bell and Reggie Tongue),2.810,3.580
2,8:55,3,1,SEA 32,,,Timeout #3 by Los Angeles Rams,2.810,3.580
2,8:55,1,10,SEA 30,0,7,Marshall Faulk left end for 7 yards (tackle by Marcus Robertson),3.580,3.980
2,8:14,2,3,SEA 23,0,7,Marshall Faulk middle for 10 yards (tackle by Doug Evans),3.980,4.710
2,7:31,1,10,SEA 13,0,7,Marc Bulger pass incomplete intended for Isaac Bruce,4.710,4.050
2,7:24,2,10,SEA 13,0,7,Marc Bulger pass incomplete intended for Torry Holt,4.050,3.120
2,7:20,3,10,SEA 13,0,7,Marc Bulger pass incomplete intended for Isaac Bruce (defended by Doug Evans),3.120,2.570
2,7:14,4,10,SEA 13,0,10,Jeff Wilkins 31 yard field goal good,2.570,3.000
2,7:14,,,STL 30,0,10,"Jeff Wilkins kicks off 70 yards, returned by Maurice Morris for 21 yards (tackle by O.J. Brigance)",0.000,0.340
