Unnamed: 0,SEA,STL
First Downs,13,28
Rush-Yds-TDs,16-50-0,42-218-3
Cmp-Att-Yd-TD-INT,10-30-255-1-2,22-40-265-1-1
Sacked-Yards,3-15,1-5
Net Pass Yards,240,260
Total Yards,290,478
Fumbles-Lost,3-1,1-1
Turnovers,3,2
Penalties-Yards,2-15,6-35
Third Down Conv.,2-11,8-16
Fourth Down Conv.,0-1,0-0
Time of Possession,19:33,40:27
