Quarter,Time,Tm,Detail,SEA,STL
1.0,6:00,Rams,Marshall Faulk 6 yard pass from Marc Bulger (Jeff Wilkins kick),0,7
2.0,7:11,Rams,Jeff Wilkins 31 yard field goal,0,10
,6:51,Seahawks,Koren Robinson 79 yard pass from Trent Dilfer (Rian Lindell kick),7,10
,0:29,Rams,Jeff Wilkins 45 yard field goal,7,13
,0:16,Seahawks,Maurice Morris 97 yard kickoff return (Rian Lindell kick),14,13
3.0,5:08,Rams,Marshall Faulk 3 yard rush (Jeff Wilkins kick),14,20
,3:23,Rams,Jeff Wilkins 47 yard field goal,14,23
4.0,12:12,Rams,Marshall Faulk 2 yard rush (Jeff Wilkins kick),14,30
,6:05,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),14,37
,3:28,Seahawks,Chad Eaton 1 yard defensive fumble return (pass failed),20,37
