Unnamed: 0,ARI,DAL
First Downs,23,19
Rush-Yds-TDs,32-127-0,17-45-0
Cmp-Att-Yd-TD-INT,27-39-286-2-0,25-39-257-3-0
Sacked-Yards,1-14,1-1
Net Pass Yards,272,256
Total Yards,399,301
Fumbles-Lost,0-0,3-1
Turnovers,0,1
Penalties-Yards,7-45,10-88
Third Down Conv.,7-16,3-11
Fourth Down Conv.,2-2,3-3
Time of Possession,34:42,25:18
