Quarter,Time,Tm,Detail,ARI,DAL
1.0,7:46,Cardinals,Matt Prater 24 yard field goal,3,0
2.0,5:27,Cardinals,Antoine Wesley 1 yard pass from Kyler Murray (Matt Prater kick),10,0
,1:25,Cowboys,Michael Gallup 21 yard pass from Dak Prescott (Greg Zuerlein kick),10,7
,0:00,Cardinals,Matt Prater 53 yard field goal,13,7
3.0,9:39,Cardinals,Antoine Wesley 19 yard pass from Kyler Murray (pass failed),19,7
,4:01,Cardinals,Matt Prater 26 yard field goal,22,7
4.0,13:49,Cowboys,Cedrick Wilson Jr. 2 yard pass from Dak Prescott (Greg Zuerlein kick),22,14
,8:32,Cardinals,Matt Prater 38 yard field goal,25,14
,4:42,Cowboys,Amari Cooper 4 yard pass from Dak Prescott (Cedrick Wilson Jr. pass from Dak Prescott),25,22
