Unnamed: 0,IND,KAN
First Downs,19,18
Rush-Yds-TDs,34-135-1,20-155-1
Cmp-Att-Yd-TD-INT,26-37-241-1-0,16-28-153-0-1
Sacked-Yards,1-9,5-21
Net Pass Yards,232,132
Total Yards,367,287
Fumbles-Lost,1-0,5-2
Turnovers,0,3
Penalties-Yards,3-31,7-65
Third Down Conv.,7-18,1-8
Fourth Down Conv.,1-1,1-1
Time of Possession,38:20,21:40
