Quarter,Time,Tm,Detail,SEA,MIN
1.0,3:36,Seahawks,Thomas Rawls 5 yard rush (Stephen Hauschka kick),7,0
2.0,2:04,Seahawks,Russell Wilson 8 yard rush (Stephen Hauschka kick),14,0
,1:04,Seahawks,Doug Baldwin 20 yard pass from Russell Wilson (Stephen Hauschka kick),21,0
3.0,9:12,Seahawks,Fred Jackson 5 yard pass from Russell Wilson (Stephen Hauschka kick),28,0
,1:01,Seahawks,Doug Baldwin 53 yard pass from Russell Wilson (Stephen Hauschka kick),35,0
,0:48,Vikings,Cordarrelle Patterson 101 yard kickoff return (Blair Walsh kick),35,7
4.0,8:00,Seahawks,Stephen Hauschka 23 yard field goal,38,7
