Quarter,Time,Down,ToGo,Location,SEA,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Blair Walsh kicks off 63 yards, returned by Tyler Lockett for 47 yards (tackle by Trae Waynes)",0.000,-2.190
1,14:53,1,10,SEA 49,0,0,Thomas Rawls middle for -1 yards (tackle by Harrison Smith),2.190,1.510
1,14:20,2,11,SEA 48,0,0,Russell Wilson pass complete short right to Cooper Helfet for 13 yards (tackle by Antone Exum),1.510,2.980
1,13:46,1,10,MIN 39,0,0,Russell Wilson pass incomplete short right intended for Luke Willson,2.980,2.440
1,13:38,2,10,MIN 39,0,0,"Thomas Rawls left guard for 7 yards (tackle by Antone Exum). Thomas Rawls fumbles (forced by Antone Exum), recovered by Antone Exum at MIN-30 (tackle by Russell Wilson)",2.440,-0.940
,,,,,,,"MIN challenged the runner was down by contact ruling, and the original play was overturned.",,
1,13:27,1,10,MIN 30,0,0,Adrian Peterson middle for 3 yards (tackle by Ahtyba Rubin and Michael Bennett),0.940,0.800
1,12:47,2,7,MIN 33,0,0,Adrian Peterson middle for 4 yards (tackle by K.J. Wright and Earl Thomas),0.800,0.630
1,12:07,3,3,MIN 37,0,0,Teddy Bridgewater sacked by Frank Clark for -3 yards,0.630,-1.110
1,11:30,4,6,MIN 34,0,0,Jeff Locke punts 47 yards,-1.110,-0.150
1,11:15,1,10,SEA 19,0,0,Thomas Rawls right tackle for 4 yards (tackle by Everson Griffen),0.150,0.210
1,10:37,2,6,SEA 23,0,0,"Penalty on Garry Gilliam: False Start, 5 yards (no play)",0.210,-0.560
1,10:11,2,11,SEA 18,0,0,Russell Wilson pass complete short right to Doug Baldwin for 7 yards (tackle by Captain Munnerlyn),-0.560,-0.290
1,9:41,3,4,SEA 25,0,0,"Russell Wilson pass incomplete short right intended for Tyler Lockett. Penalty on Terence Newman: Defensive Holding, 5 yards (no play)",-0.290,0.940
1,9:38,1,10,SEA 30,0,0,Thomas Rawls middle for 2 yards (tackle by Antone Exum),0.940,0.660
1,9:01,2,8,SEA 32,0,0,Russell Wilson pass complete short middle to Luke Willson for 14 yards (tackle by Harrison Smith),0.660,1.990
1,8:25,1,10,SEA 46,0,0,Russell Wilson pass complete short left to Luke Willson for 22 yards (tackle by Eric Kendricks),1.990,3.450
1,7:40,1,10,MIN 32,0,0,Thomas Rawls left guard for no gain (tackle by Eric Kendricks),3.450,2.900
1,7:03,2,10,MIN 32,0,0,Russell Wilson pass complete short middle to Thomas Rawls for 9 yards (tackle by Captain Munnerlyn and Eric Kendricks),2.900,3.400
1,6:23,3,1,MIN 23,0,0,"Penalty on J.R. Sweezy: False Start, 5 yards (no play)",3.400,2.740
1,6:03,3,6,MIN 28,0,0,Russell Wilson pass complete short left to Tyler Lockett for 9 yards (tackle by Xavier Rhodes),2.740,4.310
1,5:41,1,10,MIN 19,0,0,"Penalty on SEA: Illegal Substitution, 5 yards (no play)",4.310,3.970
1,5:27,1,15,MIN 24,0,0,Russell Wilson pass complete short left to Thomas Rawls for 4 yards (tackle by Chad Greenway),3.970,3.630
1,5:07,2,11,MIN 20,0,0,Russell Wilson pass complete short right to Tyler Lockett for 10 yards (tackle by Robert Blanton),3.630,4.690
1,4:25,3,1,MIN 10,0,0,Russell Wilson left end for 5 yards (tackle by Chad Greenway),4.690,6.060
1,3:42,1,5,MIN 5,6,0,"Thomas Rawls left guard for 5 yards, touchdown",6.060,7.000
1,3:42,,,MIN 5,7,0,Steven Hauschka kicks extra point good,0.000,0.000
1,3:42,,,SEA 35,7,0,"Steven Hauschka kicks off 70 yards, returned by Cordarrelle Patterson for 26 yards (tackle by Kelcie McCray)",0.000,-0.340
1,3:32,1,10,MIN 21,7,0,Adrian Peterson right tackle for -1 yards (tackle by Bruce Irvin),0.340,-0.340
1,2:54,2,11,MIN 20,7,0,Teddy Bridgewater for 2 yards (tackle by K.J. Wright),-0.340,-0.760
1,2:15,3,9,MIN 22,7,0,"Teddy Bridgewater pass incomplete short right intended for Kyle Rudolph. Penalty on K.J. Wright: Illegal Contact, 5 yards (no play)",-0.760,0.740
1,2:09,1,10,MIN 27,7,0,Teddy Bridgewater pass complete short left to Adrian Peterson for 3 yards (tackle by K.J. Wright),0.740,0.600
1,1:29,2,7,MIN 30,7,0,Teddy Bridgewater sacked by Frank Clark for -5 yards,0.600,-0.760
1,0:45,3,12,MIN 25,7,0,Teddy Bridgewater pass incomplete short left intended for Matt Asiata,-0.760,-1.700
1,0:39,4,12,MIN 25,7,0,"Jeff Locke punts 46 yards, returned by Tyler Lockett for 6 yards (tackle by Kevin McDermott). Penalty on Jeremy Lane: Offensive Holding, 10 yards",-1.700,-0.150
1,0:27,1,10,SEA 19,7,0,Thomas Rawls right tackle for 20 yards (tackle by Robert Blanton),0.150,1.530
Quarter,Time,Down,ToGo,Location,SEA,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SEA 39,7,0,Tyler Lockett right end for 7 yards (tackle by Brian Robison),1.530,1.930
