Unnamed: 0,SEA,MIN
First Downs,25,9
Rush-Yds-TDs,36-173-2,16-31-0
Cmp-Att-Yd-TD-INT,21-28-274-3-0,17-28-118-0-1
Sacked-Yards,2-14,4-24
Net Pass Yards,260,94
Total Yards,433,125
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,9-65,9-95
Third Down Conv.,9-13,2-10
Fourth Down Conv.,1-1,0-1
Time of Possession,35:10,24:50
