Unnamed: 0,CHI,ARI
First Downs,21,13
Rush-Yds-TDs,31-122-1,18-53-0
Cmp-Att-Yd-TD-INT,24-35-220-0-1,17-26-193-2-3
Sacked-Yards,3-26,4-25
Net Pass Yards,194,168
Total Yards,316,221
Fumbles-Lost,1-1,2-1
Turnovers,2,4
Penalties-Yards,7-45,6-43
Third Down Conv.,5-14,3-10
Fourth Down Conv.,1-1,0-1
Time of Possession,36:21,23:39
