Unnamed: 0,CLE,CIN
First Downs,17,18
Rush-Yds-TDs,30-134-0,32-132-1
Cmp-Att-Yd-TD-INT,16-34-151-2-1,21-31-270-1-0
Sacked-Yards,2-11,2-13
Net Pass Yards,140,257
Total Yards,274,389
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,3-15,5-35
Third Down Conv.,6-15,6-14
Fourth Down Conv.,0-1,0-1
Time of Possession,28:26,31:34
