Quarter,Time,Tm,Detail,NWE,CAR
2.0,12:07,Panthers,Zane Gonzalez 39 yard field goal,0,3
,8:19,Patriots,Damien Harris 3 yard rush (Nick Folk kick),7,3
,4:28,Panthers,Zane Gonzalez 49 yard field goal,7,6
,0:24,Patriots,Hunter Henry 7 yard pass from Mac Jones (Nick Folk kick),14,6
3.0,6:55,Patriots,J.C. Jackson 88 yard interception return (Nick Folk kick),21,6
,2:20,Patriots,Nick Folk 37 yard field goal,24,6
