Unnamed: 0,NWE,CAR
First Downs,17,13
Rush-Yds-TDs,39-151-1,23-78-0
Cmp-Att-Yd-TD-INT,12-18-139-1-1,16-33-172-0-3
Sacked-Yards,2-17,1-10
Net Pass Yards,122,162
Total Yards,273,240
Fumbles-Lost,3-1,2-0
Turnovers,2,3
Penalties-Yards,6-35,10-83
Third Down Conv.,6-14,3-11
Fourth Down Conv.,1-1,0-1
Time of Possession,32:29,27:31
