Quarter,Time,Down,ToGo,Location,NWE,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Zane Gonzalez kicks off 65 yards, touchback.",,
1,15:00,1,10,NWE 25,0,0,Damien Harris up the middle for 2 yards (tackle by Myles Hartsfield),,
1,14:29,2,8,NWE 27,0,0,Mac Jones pass complete short right to Kendrick Bourne for 7 yards (tackle by Keith Taylor),,
1,14:03,3,1,NWE 34,0,0,Mac Jones up the middle for 2 yards (tackle by Shaq Thompson and Derrick Brown),,
1,13:26,1,10,NWE 36,0,0,Damien Harris up the middle for no gain (tackle by Jermaine Carter),,
1,12:47,2,10,NWE 36,0,0,"Penalty on Isaiah Wynn: False Start, 5 yards (accepted) (no play)",,
1,12:27,2,15,NWE 31,0,0,"Mac Jones pass complete short left to Jonnu Smith for no gain (tackle by Jermaine Carter). Penalty on Ted Karras: Offensive Holding, 10 yards (accepted) (no play)",,
1,12:04,2,25,NWE 21,0,0,Brandon Bolden right guard for 16 yards (tackle by Jermaine Carter and Rashaan Melvin),,
1,11:21,3,9,NWE 37,0,0,Mac Jones pass complete short left to Jakobi Meyers for 8 yards (tackle by Shaq Thompson),,
1,10:28,4,1,NWE 45,0,0,"Jake Bailey punts 55 yards, touchback.",,
1,10:19,1,10,CAR 20,0,0,Christian McCaffrey right tackle for 2 yards (tackle by Lawrence Guy and Kyle Van Noy),,
1,9:48,2,8,CAR 22,0,0,Christian McCaffrey up the middle for 4 yards (tackle by Ja'Whaun Bentley and Lawrence Guy),,
1,9:20,3,4,CAR 26,0,0,Sam Darnold pass incomplete short right intended for D.J. Moore (defended by Kyle Van Noy),,
1,9:15,4,4,CAR 26,0,0,"Penalty on Clay Johnston: False Start, 5 yards (accepted) (no play)",,
1,9:15,4,9,CAR 21,0,0,"Lac Edwards punts 57 yards, returned by Gunner Olszewski for 18 yards (tackle by Frankie Luvu)",,
1,9:03,1,10,NWE 40,0,0,"Penalty on NWE: Delay of Game, 5 yards (accepted) (no play)",,
1,9:03,1,15,NWE 35,0,0,Mac Jones sacked by and Haason Reddick for -4 yards and Brian Burns for -4 yards,,
1,8:27,2,19,NWE 31,0,0,Rhamondre Stevenson up the middle for 12 yards (tackle by Myles Hartsfield and Sean Chandler),,
1,7:43,3,7,NWE 43,0,0,Mac Jones pass complete short left to Hunter Henry for 12 yards (tackle by A.J. Bouye),,
1,7:07,1,10,CAR 45,0,0,Mac Jones pass incomplete short middle intended for Jakobi Meyers (defended by Derrick Brown),,
1,6:59,2,10,CAR 45,0,0,"Penalty on Hunter Henry: False Start, 5 yards (accepted) (no play)",,
1,6:59,2,15,CAR 50,0,0,Mac Jones pass complete short left to Brandon Bolden for -1 yards (tackle by Shaq Thompson),,
1,6:21,3,16,NWE 49,0,0,Mac Jones pass complete short right to Jonnu Smith for 4 yards (tackle by Shaq Thompson),,
1,5:45,4,12,CAR 47,0,0,Jake Bailey punts 42 yards downed by Justin Bethel,,
1,5:35,1,10,CAR 5,0,0,Chuba Hubbard left tackle for 2 yards (tackle by Dont'a Hightower),,
1,4:55,2,8,CAR 7,0,0,Sam Darnold pass complete short middle to D.J. Moore for 13 yards (tackle by Jalen Mills),,
1,4:15,1,10,CAR 20,0,0,"Penalty on Trenton Scott: False Start, 5 yards (accepted) (no play)",,
1,3:56,1,15,CAR 15,0,0,"Sam Darnold aborted snap, recovered by Sam Darnold at CAR-13 Sam Darnold pass incomplete. Penalty on Sam Darnold: Intentional Grounding, 10 yards (accepted)",,
1,3:51,2,25,CAR 5,0,0,Ameer Abdullah left guard for no gain (tackle by Davon Godchaux),,
1,3:11,3,25,CAR 5,0,0,Sam Darnold pass complete short right to Tommy Tremble for 6 yards (tackle by Jalen Mills and Myles Bryant),,
1,2:13,4,19,CAR 11,0,0,"Lac Edwards punts 59 yards, returned by Gunner Olszewski for 17 yards. Gunner Olszewski fumbles, recovered by Gunner Olszewski at NE-47",,
1,1:59,1,10,NWE 47,0,0,Damien Harris left guard for 1 yard (tackle by Yetur Gross-Matos),,
1,1:22,2,9,NWE 48,0,0,Damien Harris left tackle for 5 yards (tackle by Jeremy Chinn and Donte Jackson),,
1,0:40,3,4,CAR 47,0,0,"Mac Jones sacked by Brian Burns for -13 yards. Mac Jones fumbles (forced by Brian Burns), recovered by Frankie Luvu at NE-40 and returned for 7 yards (tackle by Isaiah Wynn)",,
1,0:30,1,10,NWE 33,0,0,Christian McCaffrey right tackle for 4 yards (tackle by Davon Godchaux and Jamie Collins),,
Quarter,Time,Down,ToGo,Location,NWE,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,NWE 29,0,0,D.J. Moore up the middle for 4 yards (tackle by Ja'Whaun Bentley),,
2,14:24,3,2,NWE 25,0,0,Christian McCaffrey up the middle for 4 yards (tackle by Davon Godchaux),,
2,13:42,1,10,NWE 21,0,0,Sam Darnold pass incomplete short left intended for Christian McCaffrey (defended by Christian Barmore),,
2,13:35,2,10,NWE 21,0,0,Chuba Hubbard right end for -2 yards (tackle by Deatrich Wise),,
2,12:52,3,12,NWE 23,0,0,Sam Darnold pass complete short left to Robbie Anderson for 2 yards (tackle by Myles Bryant),,
2,12:12,4,10,NWE 21,0,3,Zane Gonzalez 39 yard field goal good,,
2,12:07,,,CAR 35,0,3,"Zane Gonzalez kicks off 70 yards, returned by Gunner Olszewski for 30 yards (tackle by Frankie Luvu)",,
