Unnamed: 0,STL,SFO
First Downs,13,20
Rush-Yds-TDs,27-91-0,21-80-0
Cmp-Att-Yd-TD-INT,13-24-105-1-2,22-33-237-1-0
Sacked-Yards,1-3,8-54
Net Pass Yards,102,183
Total Yards,193,263
Fumbles-Lost,0-0,3-2
Turnovers,2,2
Penalties-Yards,9-83,9-44
Third Down Conv.,4-12,3-12
Fourth Down Conv.,0-0,0-0
Time of Possession,27:34,32:26
