Quarter,Time,Tm,Detail,STL,SFO
1.0,10:32,49ers,Phil Dawson 34 yard field goal,0,3
,1:20,Rams,Greg Zuerlein 37 yard field goal,3,3
2.0,11:57,49ers,Anquan Boldin 27 yard pass from Colin Kaepernick (Phil Dawson kick),3,10
,1:04,Rams,Kenny Britt 21 yard pass from Austin Davis (Greg Zuerlein kick),10,10
4.0,5:25,Rams,Greg Zuerlein 39 yard field goal,13,10
