Unnamed: 0,NYG,IND
First Downs,22,27
Rush-Yds-TDs,29-83-2,16-49-2
Cmp-Att-Yd-TD-INT,25-33-309-1-1,31-47-357-2-1
Sacked-Yards,0-0,1-4
Net Pass Yards,309,353
Total Yards,392,402
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,6-24,6-29
Third Down Conv.,7-12,7-11
Fourth Down Conv.,0-0,0-0
Time of Possession,31:41,28:19
