Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Saquon Barkley,NYG,21,43,1,1,35,1.7,8,0.4,1,21.0
Evan Engram,NYG,2,26,0,2,24,12.0,2,1.0,0,
Wayne Gallman,NYG,2,12,0,,8,4.0,4,2.0,0,
Eli Manning,NYG,2,0,1,1,-1,-0.5,1,0.5,0,
Corey Coleman,NYG,1,5,0,,5,5.0,0,0.0,0,
Sterling Shepard,NYG,1,-3,0,0,-3,-3.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Marlon Mack,IND,12,34,1,3,28,2.3,6,0.5,0,
Nyheim Hines,IND,2,2,1,1,1,0.5,1,0.5,0,
Andrew Luck,IND,2,13,0,1,8,4.0,5,2.5,1,2.0
