Unnamed: 0,IND,JAX
First Downs,17,23
Rush-Yds-TDs,27-132-2,24-67-0
Cmp-Att-Yd-TD-INT,12-25-162-0-0,27-39-295-3-1
Sacked-Yards,3-19,3-9
Net Pass Yards,143,286
Total Yards,275,353
Fumbles-Lost,2-2,1-0
Turnovers,2,1
Penalties-Yards,4-36,3-27
Third Down Conv.,4-12,9-14
Fourth Down Conv.,0-1,0-0
Time of Possession,26:07,33:53
