Quarter,Time,Tm,Detail,IND,JAX
1.0,9:06,Colts,Chase McLaughlin 20 yard field goal,3,0
,6:19,Jaguars,Josh Lambo 20 yard field goal,3,3
,0:41,Colts,Marlon Mack 5 yard rush (Chase McLaughlin kick),10,3
2.0,12:00,Jaguars,Josh Lambo 53 yard field goal,10,6
,5:42,Jaguars,Keelan Cole 14 yard pass from Gardner Minshew II (Josh Lambo kick),10,13
,2:11,Colts,Marlon Mack 8 yard rush (Chase McLaughlin kick),17,13
,0:39,Colts,Chase McLaughlin 50 yard field goal,20,13
,0:00,Jaguars,Josh Lambo 56 yard field goal,20,16
3.0,8:27,Jaguars,Ryquell Armstead 3 yard pass from Gardner Minshew II (Dede Westbrook pass from Gardner Minshew II),20,24
4.0,9:28,Jaguars,Calais Campbell 8 yard fumble return (Josh Lambo kick),20,31
,4:42,Jaguars,Dede Westbrook 18 yard pass from Gardner Minshew II (Josh Lambo kick),20,38
