Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 63 yards, returned by Richie James for 30 yards (tackle by Luke Masterson)",0.000,1.070
1,14:54,1,10,KAN 32,0,0,Isiah Pacheco right end for no gain (tackle by Malcolm Koonce),1.070,0.530
1,14:24,2,10,KAN 32,0,0,Patrick Mahomes up the middle for -2 yards (tackle by Maxx Crosby),0.530,-0.430
1,13:42,3,12,KAN 30,0,0,"Patrick Mahomes sacked by Adam Butler for -9 yards. Patrick Mahomes fumbles (forced by Adam Butler), recovered by Patrick Mahomes at KC-21 (tackle by Adam Butler)",-0.430,-1.960
1,12:56,4,21,KAN 21,0,0,"Tommy Townsend punts 61 yards, recovered by DeAndre Carter at LV-18",-1.960,-0.040
1,12:40,1,10,LVR 18,0,0,Zamir White up the middle for 4 yards (tackle by Leo Chenal and Michael Danna),0.040,0.140
1,12:24,2,6,LVR 22,0,0,Aidan O'Connell sacked by Chris Jones for -8 yards,0.140,-1.820
1,11:37,3,14,LVR 14,0,0,Aidan O'Connell pass incomplete short middle,-1.820,-2.470
1,11:31,4,14,LVR 14,0,0,"AJ Cole punts 50 yards, returned by Richie James for 13 yards (tackle by Jacob Bobenmoyer). Penalty on Curtis Bolton: Illegal Shift, 5 yards (accepted)",-2.470,-2.520
1,11:21,1,10,LVR 46,0,0,Patrick Mahomes pass incomplete short left intended for Travis Kelce,2.520,1.980
1,11:17,2,10,LVR 46,0,0,"Penalty on Rashee Rice: False Start, 5 yards (accepted) (no play)",1.980,1.300
1,11:17,2,15,KAN 49,0,0,Patrick Mahomes scrambles left end for 7 yards (tackle by Nate Hobbs),1.300,1.550
1,10:45,3,8,LVR 44,0,0,"Patrick Mahomes sacked by Malcolm Koonce for -9 yards. Penalty on Marquez Valdes-Scantling: Offensive Offside, 5 yards (declined)",1.550,-0.260
1,10:14,4,17,KAN 47,0,0,Tommy Townsend punts 46 yards downed by Ekow Boye-Doe,-0.260,0.380
1,10:02,1,10,LVR 7,0,0,Zamir White right guard for 5 yards (tackle by Justin Reid and Leo Chenal),-0.380,-0.420
1,9:31,2,5,LVR 12,0,0,Zamir White right end for 6 yards (tackle by Trent McDuffie),-0.420,0.040
1,8:46,1,10,LVR 18,0,0,Aidan O'Connell pass complete short right to Cole Fotheringham for 6 yards (tackle by Tershawn Wharton and Mike Pennel),0.040,0.410
1,8:04,2,4,LVR 24,0,0,Aidan O'Connell pass complete short left to Davante Adams for 4 yards (tackle by Nick Bolton),0.410,0.810
1,7:20,1,10,LVR 28,0,0,Aidan O'Connell pass complete short right to Austin Hooper for 9 yards (tackle by Chamarri Conner),0.810,1.480
1,6:42,2,1,LVR 37,0,0,Tre Tucker right end for 5 yards (tackle by Willie Gay),1.480,1.730
1,5:57,1,10,LVR 42,0,0,Aidan O'Connell pass complete short left to Jakobi Meyers for 13 yards (tackle by Justin Reid),1.730,2.590
1,5:32,1,10,KAN 45,0,0,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers,2.590,2.040
1,5:29,2,10,KAN 45,0,0,Aidan O'Connell pass complete short middle to Jakobi Meyers for 8 yards (tackle by Chamarri Conner),2.040,2.410
1,4:55,3,2,KAN 37,0,0,Zamir White right end for 4 yards (tackle by Nick Bolton and Tershawn Wharton),2.410,3.380
1,4:14,1,10,KAN 33,0,0,Aidan O'Connell pass complete short right to Jakobi Meyers for 21 yards (tackle by Drue Tranquill),3.380,4.780
1,3:44,1,10,KAN 12,0,0,Aidan O'Connell pass complete short left to Tre Tucker for -4 yards (tackle by Chamarri Conner),4.780,3.530
1,3:03,2,14,KAN 16,0,0,Aidan O'Connell pass complete short right to Austin Hooper for 4 yards (tackle by Nick Bolton),3.530,3.120
1,2:24,3,10,KAN 12,0,0,"Penalty on KAN: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",3.120,4.160
1,2:05,3,5,KAN 7,0,0,Aidan O'Connell pass complete short right to Ameer Abdullah for 1 yard (tackle by L'Jarius Sneed),4.160,3.000
1,1:21,4,4,KAN 6,3,0,Daniel Carlson 24 yard field goal good,3.000,3.000
1,1:18,,,LVR 35,3,0,"Daniel Carlson kicks off 57 yards, returned by Richie James for 17 yards (tackle by Luke Masterson)",0.000,0.610
1,1:14,1,10,KAN 25,3,0,Patrick Mahomes pass complete short right to Isiah Pacheco for -6 yards (tackle by Nate Hobbs),0.610,-0.810
1,0:38,2,16,KAN 19,3,0,Patrick Mahomes pass complete short left to Isiah Pacheco for 1 yard (tackle by Robert Spillane and Amik Robertson),-0.810,-1.290
Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,15,KAN 20,3,0,"Patrick Mahomes pass incomplete short left intended for Travis Kelce. Penalty on Amik Robertson: Defensive Holding, 5 yards (accepted) (no play)",-1.290,0.610
2,14:56,1,10,KAN 25,3,0,Patrick Mahomes pass incomplete short right,0.610,0.060
2,14:50,2,10,KAN 25,3,0,Isiah Pacheco left end for -3 yards (tackle by Malcolm Koonce),0.060,-1.020
2,14:08,3,13,KAN 22,3,0,Patrick Mahomes pass complete short left to Rashee Rice for 11 yards (tackle by Amik Robertson),-1.020,-1.180
2,13:22,4,2,KAN 33,3,0,"Tommy Townsend punts 42 yards, fair catch by DeAndre Carter at LV-25",-1.180,-0.610
2,13:17,1,10,LVR 25,3,0,Aidan O'Connell pass incomplete deep right intended for Davante Adams,0.610,0.060
2,13:11,2,10,LVR 25,3,0,Aidan O'Connell pass incomplete short left intended for Davante Adams,0.060,-0.620
2,13:07,3,10,LVR 25,3,0,Aidan O'Connell pass incomplete deep right intended for Davante Adams,-0.620,-1.700
2,13:02,4,10,LVR 25,3,0,"AJ Cole punts 49 yards, fair catch by Richie James at KC-26",-1.700,-0.670
2,12:55,1,10,KAN 26,3,0,Isiah Pacheco right end for no gain (tackle by Bilal Nichols and Janarius Robinson),0.670,0.130
2,12:26,,,,,,Timeout #1 by Kansas City Chiefs,,
2,12:26,2,10,KAN 26,3,0,Patrick Mahomes pass incomplete short right intended for Marquez Valdes-Scantling,0.130,-0.560
2,12:21,3,10,KAN 26,3,0,Patrick Mahomes pass complete short right to Rashee Rice for 15 yards (tackle by Nate Hobbs),-0.560,1.660
2,11:44,1,10,KAN 41,3,0,Patrick Mahomes scrambles left end for 5 yards (tackle by Robert Spillane),1.660,1.800
2,11:12,2,5,KAN 46,3,0,Isiah Pacheco left guard for 2 yards (tackle by Divine Deablo),1.800,1.360
2,10:35,3,3,KAN 48,3,0,Patrick Mahomes pass complete short right to Richie James for 5 yards (tackle by Adam Butler),1.360,2.460
2,9:56,1,10,LVR 47,3,0,Patrick Mahomes pass complete short right to Travis Kelce for 24 yards (tackle by Tre'von Moehrig),2.460,4.040
2,9:12,1,10,LVR 23,3,0,Patrick Mahomes pass complete short right to Travis Kelce for 6 yards (tackle by Divine Deablo),4.040,4.380
2,8:28,2,4,LVR 17,3,0,Isiah Pacheco left end for 5 yards (tackle by Bilal Nichols),4.380,4.780
2,7:40,1,10,LVR 12,3,6,"Isiah Pacheco left end for 12 yards, touchdown",4.780,7.000
