Unnamed: 0,LVR,KAN
First Downs,12,19
Rush-Yds-TDs,29-157-0,25-85-1
Cmp-Att-Yd-TD-INT,9-21-62-0-0,28-45-246-1-1
Sacked-Yards,2-14,4-23
Net Pass Yards,48,223
Total Yards,205,308
Fumbles-Lost,1-0,2-1
Turnovers,0,2
Penalties-Yards,4-20,5-44
Third Down Conv.,3-12,5-16
Fourth Down Conv.,0-0,3-5
Time of Possession,25:42,34:18
