Quarter,Time,Tm,Detail,LVR,KAN
1.0,1:18,Raiders,Daniel Carlson 24 yard field goal,3,0
2.0,7:34,Chiefs,Isiah Pacheco 12 yard rush (Harrison Butker kick),3,7
,4:55,Raiders,Bilal Nichols 8 yard fumble return (run failed),9,7
,4:48,Raiders,Jack Jones 33 yard interception return (Brandon Bolden run),17,7
3.0,0:24,Raiders,Daniel Carlson 35 yard field goal,20,7
4.0,2:42,Chiefs,Justin Watson 7 yard pass from Patrick Mahomes (Harrison Butker kick),20,14
