Unnamed: 0,CLE,DEN
First Downs,12,28
Rush-Yds-TDs,26-102-0,40-165-2
Cmp-Att-Yd-TD-INT,8-21-181-2-1,22-36-269-0-1
Sacked-Yards,2-8,3-17
Net Pass Yards,173,252
Total Yards,275,417
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,7-32,11-124
Third Down Conv.,2-11,8-15
Fourth Down Conv.,1-2,0-0
Time of Possession,20:35,44:35
