Quarter,Time,Tm,Detail,CLE,DEN
1,10:06,Broncos,Clinton Portis 1 yard rush (Jason Elam kick),0,7
,1:33,Broncos,Jason Elam 51 yard field goal,0,10
2,6:00,Browns,Brett Conway 39 yard field goal,3,10
,0:00,Browns,Keith Heinrich 1 yard pass from Tim Couch (Brett Conway kick),10,10
4,10:43,Broncos,Clinton Portis 13 yard rush (Jason Elam kick),10,17
,7:48,Browns,Andre' Davis 35 yard pass from Tim Couch (Brett Conway kick),17,17
,1:11,Browns,Brett Conway 48 yard field goal,20,17
,0:06,Broncos,Jason Elam 36 yard field goal,20,20
OT,9:50,Broncos,Jason Elam 25 yard field goal,20,23
