Quarter,Time,Down,ToGo,Location,HOU,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the opening kickoff.",,
1,15:00,,,HOU 30,0,0,"Kris Brown kicks off 70 yards, returned by Elvis Joseph for 15 yards (tackle by Moran Norris)",0.000,-0.220
1,14:55,1,10,JAX 15,0,0,Fred Taylor middle for no gain (tackle by Gary Walker),-0.220,-0.710
1,14:19,2,10,JAX 15,0,0,Fred Taylor left end for 2 yards (tackle by Seth Payne),-0.710,-1.120
1,13:34,3,8,JAX 17,0,0,Mark Brunell pass incomplete intended for Micah Ross (defended by Jerry DeLoach),-1.120,-2.320
1,13:29,4,8,JAX 17,0,0,"Chris Hanson punts 54 yards, returned by Jermaine Lewis for 4 yards (tackle by Micah Ross)",-2.320,-1.140
1,13:19,1,10,HOU 33,0,0,"Penalty on Ryan Schau: False Start, 5 yards (no play)",1.140,0.810
1,13:19,1,15,HOU 28,0,0,"Jonathan Wells left end for 3 yards (tackle by Fernando Bryant). Penalty on Chester Pitts: Offensive Holding, 10 yards (no play)",0.810,-0.070
1,12:59,1,25,HOU 18,0,0,Jonathan Wells middle for 5 yards (tackle by Marlon McCree),-0.070,-0.760
1,12:20,2,20,HOU 23,0,0,David Carr pass complete to Jabar Gaffney for 23 yards (tackle by Marlon McCree),-0.760,1.990
1,11:38,1,10,HOU 46,0,0,Jonathan Wells right end for -3 yards (tackle by John Henderson),1.990,1.050
1,10:55,2,13,HOU 43,0,0,Jonathan Wells right tackle for no gain (tackle by John Henderson),1.050,0.370
1,10:11,3,13,HOU 43,0,0,David Carr middle for 10 yards (tackle by Marcus Stroud),0.370,0.130
1,9:30,4,3,JAX 47,0,0,"Chad Stanley punts 37 yards, fair catch by Bobby Shaw",0.130,0.380
1,9:23,1,10,JAX 10,0,0,Mark Brunell pass complete to Fred Taylor for 7 yards (tackle by Jamie Sharper),-0.380,-0.090
