Unnamed: 0,HOU,JAX
First Downs,12,18
Rush-Yds-TDs,31-81-1,32-126-1
Cmp-Att-Yd-TD-INT,11-18-184-1-0,16-34-202-1-0
Sacked-Yards,4-23,5-38
Net Pass Yards,161,164
Total Yards,242,290
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,9-60,5-50
Third Down Conv.,3-13,6-17
Fourth Down Conv.,0-0,0-1
Time of Possession,26:21,33:39
