Quarter,Time,Tm,Detail,HOU,JAX
2.0,12:03,Jaguars,Jimmy Smith 25 yard pass from Mark Brunell (Tim Seder kick),0,7
,8:02,Texans,Jonathan Wells 3 yard rush (Kris Brown kick),7,7
,5:06,Jaguars,"Safety,",7,9
3.0,11:31,Texans,Kris Brown 43 yard field goal,10,9
,6:08,Jaguars,Tim Seder 34 yard field goal,10,12
4.0,11:28,Texans,Billy Miller 1 yard pass from David Carr (Jabar Gaffney pass from David Carr),18,12
,7:42,Jaguars,Stacey Mack 2 yard rush (Tim Seder kick),18,19
,2:11,Texans,Kris Brown 45 yard field goal,21,19
