Unnamed: 0,CHI,MIN
First Downs,12,24
Rush-Yds-TDs,12-44-0,44-148-1
Cmp-Att-Yd-TD-INT,16-31-204-1-2,22-30-216-1-0
Sacked-Yards,6-30,0-0
Net Pass Yards,174,216
Total Yards,218,364
Fumbles-Lost,2-1,1-1
Turnovers,3,1
Penalties-Yards,6-33,11-65
Third Down Conv.,3-10,7-14
Fourth Down Conv.,0-2,1-1
Time of Possession,18:57,41:03
