Quarter,Time,Tm,Detail,NYG,CHI
1.0,7:25,Bears,David Montgomery 28 yard pass from Mitchell Trubisky (Cairo Santos kick),0,7
,4:36,Bears,Cairo Santos 34 yard field goal,0,10
2.0,0:14,Bears,Darnell Mooney 15 yard pass from Mitchell Trubisky (Cairo Santos kick),0,17
3.0,9:50,Giants,Graham Gano 39 yard field goal,3,17
4.0,14:18,Giants,Dion Lewis 1 yard rush (Graham Gano kick),10,17
,7:43,Giants,Graham Gano 37 yard field goal,13,17
