Quarter,Time,Down,ToGo,Location,NYG,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Graham Gano kicks off 70 yards, returned by Cordarrelle Patterson for 23 yards (tackle by Logan Ryan)",0.000,0.040
1,14:55,1,10,CHI 18,0,0,David Montgomery right tackle for 3 yards (tackle by Dexter Lawrence),0.040,0.010
1,14:16,2,7,CHI 21,0,0,Cordarrelle Patterson left end for 2 yards (tackle by Dalvin Tomlinson and Leonard Williams),0.010,-0.530
1,13:35,3,5,CHI 23,0,0,Mitchell Trubisky pass complete deep middle to Allen Robinson for 17 yards (tackle by Sean Chandler),-0.530,1.600
1,12:55,1,10,CHI 40,0,0,Mitchell Trubisky sacked by Kyler Fackrell for -6 yards,1.600,0.240
1,12:10,2,16,CHI 34,0,0,Mitchell Trubisky pass complete short left to Tarik Cohen for 15 yards (tackle by Julian Love),0.240,1.550
1,11:51,3,1,CHI 49,0,0,Tarik Cohen left guard for 5 yards (tackle by Logan Ryan),1.550,2.520
1,11:10,1,10,NYG 46,0,0,"Penalty on Kyler Fackrell: Neutral Zone Infraction, 5 yards (no play)",2.520,3.250
1,10:56,1,5,NYG 41,0,0,Mitchell Trubisky left end for -1 yards (tackle by Kyler Fackrell),3.250,2.520
1,10:15,2,6,NYG 42,0,0,David Montgomery right tackle for 4 yards (tackle by Logan Ryan),2.520,2.350
1,9:30,3,2,NYG 38,0,0,David Montgomery left end for 7 yards (tackle by Dexter Lawrence),2.350,3.510
1,8:58,1,10,NYG 31,0,0,Mitchell Trubisky pass complete short middle to Allen Robinson for 2 yards (tackle by Lorenzo Carter),3.510,3.240
1,8:19,2,8,NYG 29,0,0,Cordarrelle Patterson right tackle for 1 yard (tackle by Leonard Williams),3.240,2.680
1,7:38,3,7,NYG 28,0,6,"Mitchell Trubisky pass complete short right to David Montgomery for 28 yards, touchdown",2.680,7.000
1,7:25,,,NYG 15,0,7,Cairo Santos kicks extra point good,0.000,0.000
1,7:25,,,CHI 35,0,7,"Cairo Santos kicks off 66 yards, returned by Dion Lewis for 22 yards (tackle by James Vaughters)",0.000,0.340
1,7:20,1,10,NYG 21,0,7,Daniel Jones pass complete short right to Sterling Shepard for 5 yards (tackle by Roquan Smith),0.340,0.480
1,6:56,2,5,NYG 26,0,7,Saquon Barkley right guard for -1 yards (tackle by Akiem Hicks),0.480,-0.360
1,6:19,3,6,NYG 25,0,7,"Daniel Jones sacked by Robert Quinn for -5 yards. Daniel Jones fumbles (forced by Robert Quinn), recovered by Khalil Mack at NYG-20 (tackle by Kevin Zeitler)",-0.360,-4.240
1,6:12,1,10,NYG 20,0,7,Tarik Cohen right tackle for 1 yard (tackle by Blake Martinez),4.240,3.820
1,5:31,2,9,NYG 19,0,7,Mitchell Trubisky right guard for 3 yards (tackle by Dexter Lawrence),3.820,3.520
1,4:46,3,6,NYG 16,0,7,Mitchell Trubisky pass incomplete deep left intended for Anthony Miller,3.520,2.400
1,4:40,4,6,NYG 16,0,10,Cairo Santos 34 yard field goal good,2.400,3.000
1,4:36,,,CHI 35,0,10,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,4:36,1,10,NYG 25,0,10,Daniel Jones pass incomplete short right intended for Sterling Shepard (defended by Kyle Fuller),0.610,0.060
1,4:33,2,10,NYG 25,0,10,Saquon Barkley right tackle for 5 yards (tackle by Bilal Nichols and Akiem Hicks),0.060,0.040
1,3:58,3,5,NYG 30,0,10,Daniel Jones pass incomplete short middle intended for Sterling Shepard (defended by Kyle Fuller),0.040,-1.370
1,3:55,4,5,NYG 30,0,10,Riley Dixon punts 62 yards downed by C.J. Board,-1.370,0.380
1,3:42,1,10,CHI 8,0,10,Mitchell Trubisky pass incomplete short right intended for Allen Robinson,-0.380,-0.780
1,3:39,2,10,CHI 8,0,10,David Montgomery right guard for 8 yards (tackle by Lorenzo Carter),-0.780,-0.480
1,2:57,3,2,CHI 16,0,10,Mitchell Trubisky pass complete short right to Jimmy Graham for 18 yards (tackle by Julian Love),-0.480,1.200
1,2:23,1,10,CHI 34,0,10,Mitchell Trubisky sacked by Lorenzo Carter for -5 yards,1.200,-0.020
1,1:44,2,15,CHI 29,0,10,Mitchell Trubisky pass complete short left to Cordarrelle Patterson for 9 yards (tackle by Kyler Fackrell),-0.020,0.500
1,1:04,3,6,CHI 38,0,10,Mitchell Trubisky pass incomplete deep right intended for Anthony Miller,0.500,-0.850
1,0:59,4,6,CHI 38,0,10,"Pat O'Donnell punts 50 yards, returned by Jabrill Peppers for 11 yards (tackle by Cordarrelle Patterson)",-0.850,-0.480
1,0:49,1,10,NYG 23,0,10,Saquon Barkley right guard for 18 yards (tackle by Kyle Fuller),0.480,1.660
1,0:18,1,10,NYG 41,0,10,Dion Lewis right guard for no gain (tackle by Brent Urban),1.660,1.120
Quarter,Time,Down,ToGo,Location,NYG,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,NYG 41,0,10,"Saquon Barkley right tackle for 6 yards (tackle by Eddie Jackson). Penalty on Akiem Hicks: Illegal Use of Hands, 5 yards",1.120,2.390
2,14:42,1,10,CHI 48,0,10,Daniel Jones pass complete deep middle to Darius Slayton for 17 yards (tackle by Kyle Fuller),2.390,3.510
2,14:05,1,10,CHI 31,0,10,Dion Lewis right guard for 3 yards (tackle by Brent Urban and Roquan Smith),3.510,3.370
2,13:32,2,7,CHI 28,0,10,Daniel Jones sacked by Barkevious Mingo for -1 yards,3.370,2.540
2,12:55,3,8,CHI 29,0,10,Daniel Jones pass short middle intended for Evan Engram is intercepted by Deon Bush at CHI-24 and returned for 10 yards,2.540,-1.200
2,12:48,1,10,CHI 34,0,10,Mitchell Trubisky pass incomplete short middle intended for Allen Robinson (defended by James Bradberry),1.200,0.660
2,12:43,2,10,CHI 34,0,10,Cordarrelle Patterson right guard for 10 yards (tackle by Blake Martinez and Darnay Holmes),0.660,1.860
2,12:04,1,10,CHI 44,0,10,David Montgomery left guard for 1 yard (tackle by Austin Johnson),1.860,1.450
2,11:37,2,9,CHI 45,0,10,Mitchell Trubisky sacked by B.J. Hill for -9 yards,1.450,-0.430
2,10:54,3,18,CHI 36,0,10,Mitchell Trubisky pass complete short left to Cordarrelle Patterson for -1 yards (tackle by Oshane Ximines),-0.430,-1.040
2,10:19,4,19,CHI 35,0,10,Pat O'Donnell punts 51 yards,-1.040,0.280
2,10:06,1,10,NYG 14,0,10,Daniel Jones pass complete short middle to Dion Lewis for 15 yards (tackle by Jaylon Johnson),-0.280,0.870
2,9:31,1,10,NYG 29,0,10,Sterling Shepard right end for 6 yards (tackle by Buster Skrine),0.870,1.140
2,9:00,2,4,NYG 35,0,10,Dion Lewis right tackle for 3 yards (tackle by Roquan Smith),1.140,0.830
2,8:18,3,1,NYG 38,0,10,Dion Lewis left guard for 2 yards (tackle by Roy Robertson-Harris),0.830,1.600
2,7:45,1,10,NYG 40,0,10,Daniel Jones right end for 7 yards (tackle by Barkevious Mingo),1.600,2.000
2,7:05,2,3,NYG 47,0,10,Dion Lewis right tackle for 1 yard (tackle by Khalil Mack),2.000,1.420
2,6:24,3,2,NYG 48,0,10,Dion Lewis left end for -1 yards (tackle by Roquan Smith),1.420,-0.260
2,5:38,,,,,,Timeout #1 by New York Giants,,
2,5:38,4,3,NYG 47,0,10,"Riley Dixon punts 53 yards, touchback.",-0.260,-0.280
2,5:29,1,10,CHI 20,0,10,Mitchell Trubisky pass complete short middle to Allen Robinson for 14 yards (tackle by James Bradberry),0.280,1.200
