Unnamed: 0,NYG,CHI
First Downs,22,18
Rush-Yds-TDs,18-75-1,32-135-0
Cmp-Att-Yd-TD-INT,25-40-241-0-1,18-28-190-2-2
Sacked-Yards,4-21,4-21
Net Pass Yards,220,169
Total Yards,295,304
Fumbles-Lost,1-1,1-0
Turnovers,2,2
Penalties-Yards,3-10,5-48
Third Down Conv.,3-13,9-16
Fourth Down Conv.,3-3,1-1
Time of Possession,25:31,34:29
