Unnamed: 0,STL,DEN
First Downs,24,24
Rush-Yds-TDs,35-123-1,18-119-1
Cmp-Att-Yd-TD-INT,22-37-308-3-0,24-41-347-3-0
Sacked-Yards,2-0,3-17
Net Pass Yards,308,330
Total Yards,431,449
Fumbles-Lost,0-0,2-2
Turnovers,0,2
Penalties-Yards,4-30,6-60
Third Down Conv.,6-16,1-9
Fourth Down Conv.,1-1,1-2
Time of Possession,34:17,25:43
