Quarter,Time,Down,ToGo,Location,STL,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Josh Brown kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,DEN 20,0,0,Kyle Orton pass complete short right to Spencer Larsen for 11 yards (tackle by O.J. Atogwe),0.280,1.000
1,14:37,1,10,DEN 31,0,0,Kyle Orton pass complete short left to Brandon Lloyd for 14 yards (tackle by Ronald Bartell),1.000,1.930
1,13:57,1,10,DEN 45,0,0,Kyle Orton pass complete short right to Knowshon Moreno for 18 yards (tackle by O.J. Atogwe and Chris Chamberlain),1.930,3.120
1,13:20,1,10,STL 37,0,0,Kyle Orton pass incomplete short right intended for Brandon Lloyd,3.120,2.570
1,13:17,2,10,STL 37,0,0,Knowshon Moreno right tackle for 16 yards (tackle by Craig Dahl),2.570,4.170
1,13:17,1,10,STL 21,0,0,Lance Ball left end for 17 yards (tackle by Craig Dahl and Na'il Diggs),4.170,6.280
1,12:04,1,4,STL 4,0,6,"Knowshon Moreno middle for 4 yards, touchdown",6.280,7.000
1,,,,STL 2,0,7,Matt Prater kicks extra point good,0.000,0.000
1,,,,DEN 30,0,7,"Matt Prater kicks off 70 yards, returned by Danny Amendola for 39 yards (tackle by Wesley Woodyard)",0.000,1.530
1,11:46,1,10,STL 39,0,7,Steven Jackson middle for 1 yard (tackle by Robert Ayers),1.530,1.120
1,11:14,2,9,STL 40,0,7,Steven Jackson right guard for 3 yards (tackle by Brian Dawkins),1.120,0.830
1,10:38,3,6,STL 43,0,7,Sam Bradford pass incomplete short right intended for Danny Amendola (defended by Champ Bailey),0.830,-0.520
1,10:26,4,6,STL 43,0,7,"Donnie Jones punts 57 yards, touchback",-0.520,-0.280
1,10:17,1,10,DEN 20,0,7,Eddie Royal left end for 20 yards (tackle by Craig Dahl),0.280,1.600
1,9:38,1,10,DEN 40,0,7,Kyle Orton pass incomplete short right intended for Jabar Gaffney,1.600,1.050
1,9:34,2,10,DEN 40,0,7,Kyle Orton pass complete short left to Dan Gronkowski for 13 yards (tackle by O.J. Atogwe),1.050,2.460
1,8:56,1,10,STL 47,0,7,Knowshon Moreno left end for 9 yards (tackle by Ronald Bartell),2.460,3.130
1,8:28,2,1,STL 38,0,7,Knowshon Moreno left tackle for 3 yards (tackle by Larry Grant),3.130,3.250
1,7:48,1,10,STL 35,0,7,Kyle Orton pass incomplete deep right intended for Brandon Lloyd,3.250,2.700
1,7:42,2,10,STL 35,0,7,Kyle Orton pass incomplete short left intended for Knowshon Moreno,2.700,2.010
1,7:36,3,10,STL 35,0,7,Kyle Orton pass complete short left to Daniel Graham for 4 yards (tackle by Darian Stewart),2.010,1.340
1,7:36,4,6,STL 31,0,10,Matt Prater 49 yard field goal good,1.340,3.000
1,,,,DEN 30,0,10,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
1,7:23,1,10,STL 20,0,10,Danny Amendola left end for 13 yards (tackle by Perrish Cox),0.280,1.140
1,7:06,1,10,STL 33,0,10,Steven Jackson middle for 2 yards (tackle by Jamal Williams and Brian Dawkins),1.140,0.860
1,6:38,2,8,STL 35,0,10,Sam Bradford pass complete short right to Daniel Fells for 10 yards (tackle by Joe Mays),0.860,1.930
1,6:03,1,10,STL 45,0,10,Sam Bradford pass incomplete short right intended for Danario Alexander (defended by Justin Bannan),1.930,1.380
1,5:58,2,10,STL 45,0,10,Steven Jackson right tackle for 3 yards (tackle by Jamal Williams and Ryan McBean),1.380,1.090
1,5:14,3,7,STL 48,0,10,Sam Bradford pass complete short middle to Brandon Gibson for 8 yards (tackle by Champ Bailey),1.090,2.650
1,4:44,1,10,DEN 44,0,10,Sam Bradford pass complete short right to Laurent Robinson for 6 yards (tackle by Champ Bailey),2.650,2.920
1,4:19,2,4,DEN 38,0,10,Steven Jackson right tackle for 1 yard (tackle by D.J. Williams),2.920,2.350
1,3:34,3,3,DEN 37,0,10,Sam Bradford pass complete short right to Danny Amendola for 2 yards (tackle by Brian Dawkins),2.350,1.000
1,2:50,4,1,DEN 35,0,10,Steven Jackson left guard for 1 yard (tackle by Joe Mays),1.000,3.310
1,2:14,1,10,DEN 34,0,10,Steven Jackson right guard for -2 yards (tackle by Joe Mays),3.310,2.500
1,1:41,2,12,DEN 36,6,10,"Sam Bradford pass complete short left to Michael Hoomanawanui for 36 yards, touchdown",2.500,7.000
1,,,,DEN 2,7,10,Josh Brown kicks extra point good,0.000,0.000
1,,,,STL 30,7,10,"Josh Brown kicks off 70 yards, touchback",0.000,0.280
1,1:32,1,10,DEN 20,7,10,Knowshon Moreno right end for 3 yards (tackle by Chris Long),0.280,0.140
1,0:53,2,7,DEN 23,7,10,Knowshon Moreno left end for 8 yards (tackle by Larry Grant),0.140,1.000
1,0:21,1,10,DEN 31,7,10,Kyle Orton pass complete deep right to Brandon Lloyd for 16 yards (tackle by Ronald Bartell),1.000,2.060
Quarter,Time,Down,ToGo,Location,STL,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 47,7,10,Knowshon Moreno left end for 1 yard (tackle by Ronald Bartell),2.060,1.650
2,14:36,2,9,DEN 48,7,10,Kyle Orton pass complete deep right to Jabar Gaffney for 28 yards (tackle by Justin King),1.650,3.970
2,13:56,1,10,STL 24,7,10,Knowshon Moreno left tackle for 3 yards (tackle by James Hall),3.970,3.840
2,13:15,2,7,STL 21,7,10,Kyle Orton pass complete short right to Knowshon Moreno for -1 yards (tackle by James Laurinaitis),3.840,3.010
2,12:35,3,8,STL 22,7,10,Kyle Orton pass incomplete short right intended for Brandon Lloyd (defended by O.J. Atogwe),3.010,1.990
2,12:31,4,8,STL 22,7,13,Matt Prater 40 yard field goal good,1.990,3.000
2,,,,DEN 30,7,13,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
2,12:27,1,10,STL 20,7,13,Danny Amendola left end for 30 yards (tackle by Brian Dawkins),0.280,2.260
2,11:49,1,10,DEN 50,7,13,Steven Jackson right tackle for 3 yards (tackle by Jamal Williams),2.260,2.120
2,11:15,2,7,DEN 47,7,13,Sam Bradford pass complete short middle to Billy Bajema for 4 yards (tackle by D.J. Williams),2.120,1.950
2,10:31,3,3,DEN 43,7,13,Sam Bradford pass complete short middle to Laurent Robinson for 11 yards (tackle by Brian Dawkins),1.950,3.450
2,10:11,1,10,DEN 32,7,13,Steven Jackson middle for 1 yard (tackle by Jamal Williams and D.J. Williams),3.450,3.040
2,9:34,2,9,DEN 31,7,13,Sam Bradford pass incomplete short middle intended for Billy Bajema,3.040,2.340
2,9:29,3,9,DEN 31,7,13,Sam Bradford pass complete short left to Danario Alexander for 12 yards (tackle by Nate Jones),2.340,4.310
2,8:53,,,,7,13,Timeout #1 by Denver Broncos,0.000,4.310
2,8:53,1,10,DEN 19,7,13,Sam Bradford pass incomplete short right intended for Daniel Fells (defended by Justin Bannan),4.310,3.750
2,8:49,2,10,DEN 19,7,13,Steven Jackson left guard for 4 yards (tackle by Robert Ayers),3.750,3.580
2,8:03,3,6,DEN 15,7,13,Sam Bradford pass complete short middle to Danario Alexander for 14 yards (tackle by Renaldo Hill and Syd'Quan Thompson),3.580,6.970
,,,,,,,"STL challenged the runner broke the plane ruling, and the play was upheld.",,
2,7:16,1,1,DEN 1,7,13,Steven Jackson left guard for no gain (tackle by Renaldo Hill and Jamal Williams),6.970,5.910
2,6:36,2,1,DEN 1,7,13,Steven Jackson left tackle for -1 yards (tackle by D.J. Williams),5.910,4.950
2,5:53,,,,7,13,Timeout #2 by Los Angeles Rams,0.000,4.950
2,5:53,3,2,DEN 2,13,13,"Sam Bradford pass complete short left to Billy Bajema for 2 yards, touchdown",4.950,7.000
2,,,,DEN 2,14,13,Josh Brown kicks extra point good,0.000,0.000
2,,,,STL 30,14,13,"Josh Brown kicks off 62 yards, returned by Eddie Royal for 17 yards (tackle by Chris Chamberlain)",0.000,0.610
2,5:41,1,10,DEN 25,14,13,Kyle Orton pass incomplete short left intended for Knowshon Moreno,0.610,0.060
2,5:34,2,10,DEN 25,14,13,Kyle Orton pass incomplete deep left intended for Brandon Lloyd,0.060,-0.620
2,5:28,,,,14,13,Timeout #2 by Denver Broncos,0.000,-0.620
2,5:28,3,10,DEN 25,14,13,Kyle Orton pass complete short right to Knowshon Moreno for 9 yards,-0.620,-1.110
2,4:36,4,1,DEN 34,14,13,"Penalty on Britton Colquitt: Delay of Game, 5 yards (no play)",-1.110,-1.440
2,4:21,4,6,DEN 29,14,13,"Britton Colquitt punts 52 yards, returned by Danny Amendola for 10 yards (tackle by Eric Decker)",-1.440,-0.870
2,4:08,1,10,STL 29,14,13,Steven Jackson right guard for no gain (tackle by Joe Mays and D.J. Williams),0.870,0.330
2,3:29,2,10,STL 29,14,13,Sam Bradford pass complete deep left to Danario Alexander for 45 yards,0.330,3.840
2,3:09,1,10,DEN 26,14,13,Sam Bradford pass incomplete short right intended for Laurent Robinson,3.840,3.300
2,3:01,2,10,DEN 26,20,13,"Sam Bradford pass complete deep left to Billy Bajema for 26 yards, touchdown",3.300,7.000
2,,,,DEN 2,20,13,Josh Brown kicks extra point no good,0.000,-1.000
2,,,,STL 30,20,13,"Josh Brown kicks off 70 yards, touchback",0.000,0.280
2,2:53,1,10,DEN 20,20,13,Kyle Orton pass incomplete short right intended for Jabar Gaffney (defended by Chris Long),0.280,-0.270
2,2:49,2,10,DEN 20,20,13,Kyle Orton pass incomplete short middle intended for Knowshon Moreno,-0.270,-0.960
2,2:45,3,10,DEN 20,20,13,Kyle Orton sacked for -4 yards,-0.960,-2.390
2,2:40,,,,20,13,Timeout #3 by Los Angeles Rams,0.000,-2.390
2,2:40,4,14,DEN 16,20,13,"Britton Colquitt punts 51 yards, returned by Danny Amendola for 7 yards (tackle by Wesley Woodyard)",-2.390,-1.600
2,2:27,1,10,STL 40,20,13,Sam Bradford pass complete short right to Laurent Robinson for 18 yards (tackle by Champ Bailey),1.600,2.790
2,2:00,1,10,DEN 42,20,13,Sam Bradford pass complete short middle to Danny Amendola for 16 yards (tackle by Syd'Quan Thompson),2.790,3.840
2,1:39,1,10,DEN 26,20,13,"Penalty on Jason Smith: False Start, 5 yards (no play)",3.840,3.510
2,1:39,1,15,DEN 31,20,13,"Sam Bradford pass incomplete deep middle intended for Danario Alexander. Penalty on Perrish Cox: Defensive Pass Interfere, 15 yards (no play)",3.510,4.510
