Quarter,Time,Tm,Detail,STL,DEN
1.0,11:54,Broncos,Knowshon Moreno 4 yard rush (Matt Prater kick),0,7
,7:24,Broncos,Matt Prater 49 yard field goal,0,10
,1:32,Rams,Michael Hoomanawanui 36 yard pass from Sam Bradford (Josh Brown kick),7,10
2.0,12:27,Broncos,Matt Prater 40 yard field goal,7,13
,5:45,Rams,Billy Bajema 2 yard pass from Sam Bradford (Josh Brown kick),14,13
,2:53,Rams,Billy Bajema 26 yard pass from Sam Bradford (Josh Brown kick failed),20,13
,0:54,Rams,Josh Brown 28 yard field goal,23,13
,0:14,Rams,Josh Brown 37 yard field goal,26,13
3.0,8:55,Rams,Kenneth Darby 1 yard rush (Josh Brown kick),33,13
4.0,14:54,Broncos,Brandon Lloyd 41 yard pass from Kyle Orton (Matt Prater kick),33,20
,10:50,Rams,Josh Brown 26 yard field goal,36,20
,4:50,Broncos,Eddie Royal 16 yard pass from Kyle Orton (pass failed),36,26
,2:35,Broncos,Brandon Lloyd 5 yard pass from Kyle Orton (Matt Prater kick),36,33
