Quarter,Time,Tm,Detail,NOR,ATL
1.0,8:48,Falcons,Steven Jackson 1 yard rush (Matt Bryant kick),0,7
,1:17,Saints,Ben Watson 1 yard pass from Drew Brees (Garrett Hartley kick),7,7
2.0,12:20,Falcons,Matt Bryant 39 yard field goal,7,10
,10:12,Saints,Jimmy Graham 44 yard pass from Drew Brees (Garrett Hartley kick),14,10
,2:41,Falcons,Matt Bryant 24 yard field goal,14,13
3.0,4:37,Saints,Garrett Hartley 41 yard field goal,17,13
