Unnamed: 0,NOR,ATL
First Downs,19,22
Rush-Yds-TDs,25-103-0,22-91-1
Cmp-Att-Yd-TD-INT,23-33-278-2-0,30-39-292-0-0
Sacked-Yards,1-7,5-28
Net Pass Yards,271,264
Total Yards,374,355
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,5-66,3-25
Third Down Conv.,7-13,6-12
Fourth Down Conv.,0-1,0-0
Time of Possession,26:14,33:46
