Unnamed: 0,SFO,TAM
First Downs,23,25
Rush-Yds-TDs,24-148-0,31-108-1
Cmp-Att-Yd-TD-INT,18-32-221-1-2,29-38-312-2-0
Sacked-Yards,4-27,1-8
Net Pass Yards,194,304
Total Yards,342,412
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,8-68,9-70
Third Down Conv.,1-8,7-13
Fourth Down Conv.,0-0,0-0
Time of Possession,25:51,34:09
