Quarter,Time,Tm,Detail,SFO,TAM
1.0,8:21,Buccaneers,Cameron Brate 6 yard pass from Jameis Winston (Cairo Santos kick),0,7
2.0,8:32,49ers,Dante Pettis 13 yard pass from Nick Mullens (Robbie Gould kick failed),6,7
,3:21,Buccaneers,Cairo Santos 41 yard field goal,6,10
,0:06,Buccaneers,Cairo Santos 39 yard field goal,6,13
3.0,11:02,49ers,Robbie Gould 23 yard field goal,9,13
,8:25,Buccaneers,Peyton Barber 2 yard rush (Cairo Santos kick),9,20
4.0,14:10,Buccaneers,Adam Humphries 28 yard pass from Jameis Winston (Cairo Santos kick),9,27
