Quarter,Time,Tm,Detail,PHI,DET
1.0,3:11,Eagles,Boston Scott 1 yard rush (Jake Elliott kick),7,0
2.0,12:50,Eagles,Jake Elliott 43 yard field goal,10,0
,2:51,Eagles,Jordan Howard 4 yard rush (Jake Elliott kick),17,0
3.0,9:02,Eagles,Boston Scott 3 yard rush (Jake Elliott kick),24,0
,1:20,Eagles,Jordan Howard 2 yard rush (Jake Elliott kick),31,0
,1:09,Eagles,Darius Slay 33 yard fumble return (Jake Elliott kick),38,0
4.0,9:53,Eagles,Jake Elliott 26 yard field goal,41,0
,7:14,Lions,Jermar Jefferson 8 yard rush (pass failed),41,6
,1:49,Eagles,Jake Elliott 41 yard field goal,44,6
