Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Kenneth Gainwell,PHI,13,27,0,2,2,0.2,25,1.9,2,6.5
Jordan Howard,PHI,12,57,2,6,28,2.3,29,2.4,2,6.0
Boston Scott,PHI,12,60,2,5,45,3.8,15,1.3,0,
Jalen Hurts,PHI,7,71,0,4,49,7.0,22,3.1,2,3.5
Jalen Reagor,PHI,2,21,0,2,21,10.5,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
D'Andre Swift,DET,12,27,0,1,19,1.6,8,0.7,2,6.0
Godwin Igwebuike,DET,3,18,0,1,14,4.7,4,1.3,0,
Jermar Jefferson,DET,2,6,1,1,3,1.5,3,1.5,0,
David Blough,DET,1,6,0,,2,2.0,4,4.0,0,
