Unnamed: 0,PHI,DET
First Downs,27,15
Rush-Yds-TDs,46-236-4,18-57-1
Cmp-Att-Yd-TD-INT,11-16-114-0-0,25-34-222-0-0
Sacked-Yards,0-0,6-51
Net Pass Yards,114,171
Total Yards,350,228
Fumbles-Lost,0-0,3-1
Turnovers,0,1
Penalties-Yards,2-15,8-50
Third Down Conv.,5-10,5-14
Fourth Down Conv.,0-0,2-5
Time of Possession,35:00,25:00
