Quarter,Time,Tm,Detail,ARI,SFO
1.0,4:00,Cardinals,Chandler Catanzaro 26 yard field goal,3,0
2.0,12:43,Cardinals,Chandler Catanzaro 41 yard field goal,6,0
,0:00,49ers,Phil Dawson 53 yard field goal,6,3
3.0,9:58,Cardinals,David Johnson 1 yard rush (Chandler Catanzaro kick),13,3
,7:34,49ers,Vance McDonald 8 yard pass from Blaine Gabbert (Phil Dawson kick),13,10
,1:28,49ers,Phil Dawson 33 yard field goal,13,13
4.0,2:28,Cardinals,Carson Palmer 8 yard rush (Chandler Catanzaro kick failed),19,13
