Unnamed: 0,LAR,NWE
First Downs,7,20
Rush-Yds-TDs,13-36-0,29-133-1
Cmp-Att-Yd-TD-INT,14-32-161-1-2,33-46-269-1-0
Sacked-Yards,4-35,0-0
Net Pass Yards,126,269
Total Yards,162,402
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,4-30,8-46
Third Down Conv.,1-12,4-16
Fourth Down Conv.,1-1,2-2
Time of Possession,22:03,37:57
