Quarter,Time,Tm,Detail,LAR,NWE
1.0,10:38,Patriots,LeGarrette Blount 43 yard rush (Stephen Gostkowski kick),0,7
2.0,13:04,Patriots,Chris Hogan 14 yard pass from Tom Brady (Stephen Gostkowski kick),0,14
,0:11,Patriots,Stephen Gostkowski 28 yard field goal,0,17
3.0,7:50,Rams,Greg Zuerlein 44 yard field goal,3,17
,5:08,Patriots,Stephen Gostkowski 48 yard field goal,3,20
,3:06,Patriots,Stephen Gostkowski 45 yard field goal,3,23
4.0,10:48,Patriots,Stephen Gostkowski 45 yard field goal,3,26
,1:15,Rams,Kenny Britt 1 yard pass from Jared Goff (Greg Zuerlein kick),10,26
