Quarter,Time,Tm,Detail,GNB,CHI
1.0,9:23,Bears,Cairo Santos 40 yard field goal,0,3
,3:00,Bears,Justin Fields 55 yard rush (Cairo Santos kick),0,10
2.0,10:22,Packers,Mason Crosby 24 yard field goal,3,10
,6:09,Bears,David Montgomery 7 yard rush (Cairo Santos kick failed),3,16
,0:17,Packers,Christian Watson 14 yard pass from Aaron Rodgers (Mason Crosby kick),10,16
3.0,1:50,Bears,Cairo Santos 28 yard field goal,10,19
4.0,14:41,Packers,AJ Dillon 21 yard rush (Mason Crosby kick),17,19
,4:49,Packers,Mason Crosby 32 yard field goal,20,19
,1:53,Packers,Christian Watson 46 yard rush (Marcedes Lewis pass from Aaron Rodgers),28,19
