Unnamed: 0,PIT,BAL
First Downs,22,16
Rush-Yds-TDs,18-72-1,25-74-0
Cmp-Att-Yd-TD-INT,28-44-257-2-0,24-35-251-1-0
Sacked-Yards,0-0,2-14
Net Pass Yards,257,237
Total Yards,329,311
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,4-51,9-55
Third Down Conv.,7-13,10-17
Fourth Down Conv.,1-2,0-0
Time of Possession,30:04,29:56
