Quarter,Time,Tm,Detail,PIT,BAL
1.0,9:18,Ravens,Torrey Smith 7 yard pass from Joe Flacco (Justin Tucker kick),0,7
2.0,3:01,Ravens,Justin Tucker 43 yard field goal,0,10
3.0,9:21,Ravens,Justin Tucker 34 yard field goal,0,13
,6:26,Steelers,Emmanuel Sanders 8 yard pass from Ben Roethlisberger (Shaun Suisham kick),7,13
,3:49,Ravens,Justin Tucker 38 yard field goal,7,16
4.0,13:59,Ravens,Justin Tucker 45 yard field goal,7,19
,9:32,Steelers,Le'Veon Bell 1 yard rush (Shaun Suisham kick),14,19
,5:37,Ravens,Justin Tucker 48 yard field goal,14,22
,1:03,Steelers,Jerricho Cotchery 1 yard pass from Ben Roethlisberger (pass failed),20,22
