Quarter,Time,Tm,Detail,GNB,NWE
1.0,11:40,Patriots,James White 8 yard rush (Stephen Gostkowski kick),0,7
,5:05,Packers,Mason Crosby 29 yard field goal,3,7
2.0,13:30,Patriots,Stephen Gostkowski 28 yard field goal,3,10
,4:49,Packers,Davante Adams 2 yard pass from Aaron Rodgers (Mason Crosby kick),10,10
,1:57,Patriots,Cordarrelle Patterson 5 yard rush (Stephen Gostkowski kick),10,17
3.0,11:18,Packers,Jimmy Graham 15 yard pass from Aaron Rodgers (Mason Crosby kick),17,17
4.0,10:06,Patriots,James White 1 yard rush (Stephen Gostkowski kick),17,24
,7:20,Patriots,Josh Gordon 55 yard pass from Tom Brady (Stephen Gostkowski kick),17,31
