Unnamed: 0,GNB,NWE
First Downs,22,28
Rush-Yds-TDs,25-117-0,31-123-3
Cmp-Att-Yd-TD-INT,24-43-259-2-0,23-36-331-1-0
Sacked-Yards,1-9,2-21
Net Pass Yards,250,310
Total Yards,367,433
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,7-63,5-30
Third Down Conv.,6-13,4-11
Fourth Down Conv.,0-1,0-1
Time of Possession,32:34,27:26
