Unnamed: 0,CHI,MIA
First Downs,19,10
Rush-Yds-TDs,40-135-1,13-39-0
Cmp-Att-Yd-TD-INT,16-25-156-0-1,17-29-187-0-1
Sacked-Yards,3-23,6-39
Net Pass Yards,133,148
Total Yards,268,187
Fumbles-Lost,1-0,2-0
Turnovers,1,1
Penalties-Yards,5-45,5-45
Third Down Conv.,10-18,1-11
Fourth Down Conv.,0-0,1-2
Time of Possession,37:51,22:09
