Unnamed: 0,BAL,CLE
First Downs,18,14
Rush-Yds-TDs,41-276-3,24-78-0
Cmp-Att-Yd-TD-INT,11-19-100-1-1,17-33-163-0-1
Sacked-Yards,3-17,5-30
Net Pass Yards,83,133
Total Yards,359,211
Fumbles-Lost,2-0,4-3
Turnovers,1,4
Penalties-Yards,5-41,5-26
Third Down Conv.,5-15,3-13
Fourth Down Conv.,2-2,0-2
Time of Possession,32:40,27:20
