Quarter,Time,Tm,Detail,BUF,KAN
1,8:03,Bills,Devin Singletary 1 yard rush (Tyler Bass kick),7,0
,2:26,Chiefs,Patrick Mahomes 8 yard rush (Harrison Butker kick),7,7
2,1:52,Chiefs,Byron Pringle 2 yard pass from Patrick Mahomes (Harrison Butker kick),7,14
,0:37,Bills,Gabriel Davis 18 yard pass from Josh Allen (Tyler Bass kick),14,14
3,7:01,Chiefs,Harrison Butker 39 yard field goal,14,17
,2:06,Chiefs,Mecole Hardman 25 yard rush (Harrison Butker kick failed),14,23
,1:56,Bills,Gabriel Davis 75 yard pass from Josh Allen (Tyler Bass kick),21,23
4,8:55,Chiefs,Harrison Butker 28 yard field goal,21,26
,1:54,Bills,Gabriel Davis 27 yard pass from Josh Allen (Stefon Diggs pass from Josh Allen),29,26
,1:02,Chiefs,Tyreek Hill 64 yard pass from Patrick Mahomes (Harrison Butker kick),29,33
,0:13,Bills,Gabriel Davis 19 yard pass from Josh Allen (Tyler Bass kick),36,33
,0:00,Chiefs,Harrison Butker 49 yard field goal,36,36
OT,10:45,Chiefs,Travis Kelce 8 yard pass from Patrick Mahomes,36,42
