Unnamed: 0,BUF,KAN
First Downs,23,30
Rush-Yds-TDs,24-109-1,27-182-2
Cmp-Att-Yd-TD-INT,27-37-329-4-0,33-44-378-3-0
Sacked-Yards,2-16,2-8
Net Pass Yards,313,370
Total Yards,422,552
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,3-15,1-10
Third Down Conv.,6-14,8-13
Fourth Down Conv.,4-4,1-1
Time of Possession,27:37,36:38
