Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 67 yards, returned by Charlie Adams for 18 yards (tackle by Sean Morey)",0.000,0.340
1,14:55,1,10,DEN 21,0,0,Mike Anderson up the middle for 2 yards (tackle by Troy Polamalu),0.340,0.070
1,14:14,2,8,DEN 23,0,0,Mike Anderson right end for 5 yards (tackle by Clark Haggans),0.070,0.040
1,13:26,3,3,DEN 28,0,0,Tatum Bell right tackle for 4 yards (tackle by Larry Foote),0.040,1.070
1,12:46,1,10,DEN 32,0,0,Jake Plummer pass complete to Jeb Putzier for 19 yards (tackle by Larry Foote),1.070,2.320
1,12:12,1,10,PIT 49,0,0,Jake Plummer right end for 1 yard (tackle by Brett Keisel),2.320,1.920
1,11:32,2,9,PIT 48,0,0,Mike Anderson left tackle for 4 yards (tackle by Troy Polamalu and Deshea Townsend),1.920,1.750
1,10:52,3,5,PIT 44,0,0,Jake Plummer pass incomplete intended for Rod Smith,1.750,0.330
1,10:47,4,5,PIT 44,0,0,"Todd Sauerbrun punts 36 yards, fair catch by Antwaan Randle El",0.330,0.380
1,10:40,1,10,PIT 9,0,0,Ben Roethlisberger pass complete to Willie Parker for 8 yards (tackle by Ian Gold and D.J. Williams),-0.380,-0.020
1,10:02,2,2,PIT 17,0,0,Ben Roethlisberger pass complete to Antwaan Randle El for 20 yards (tackle by Domonique Foxworth),-0.020,1.400
1,9:32,1,10,PIT 37,0,0,Willie Parker right tackle for 2 yards (tackle by Courtney Brown),1.400,1.130
1,8:55,2,8,PIT 39,0,0,Ben Roethlisberger pass complete to Willie Parker for 5 yards (tackle by Domonique Foxworth),1.130,1.090
1,8:08,3,3,PIT 44,0,0,Ben Roethlisberger pass complete to Hines Ward for 7 yards (tackle by John Lynch),1.090,2.320
1,7:24,1,10,DEN 49,0,0,Willie Parker left tackle for 4 yards (tackle by D.J. Williams and Michael Myers),2.320,2.320
1,6:46,2,6,DEN 45,0,0,Willie Parker right tackle for -1 yards (tackle by Al Wilson),2.320,1.490
,,,,,,,"PIT challenged the ruling, and the original play was overturned.",,
1,6:20,3,7,DEN 46,0,0,Ben Roethlisberger pass complete to Nate Washington for 13 yards (tackle by Domonique Foxworth),1.490,3.380
1,5:51,1,10,DEN 33,0,0,Ben Roethlisberger sacked by Michael Myers for 0 yards,3.380,2.840
1,5:10,2,10,DEN 33,0,0,Hines Ward left end for 4 yards (tackle by Domonique Foxworth and Champ Bailey),2.840,2.680
1,4:20,3,6,DEN 29,0,0,Ben Roethlisberger pass incomplete intended for Nate Washington (defended by Domonique Foxworth),2.680,1.520
1,4:15,4,6,DEN 29,3,0,Jeff Reed 47 yard field goal good,1.520,3.000
1,,,,PIT 30,3,0,"Jeff Reed kicks off 70 yards, returned by Charlie Adams for 22 yards (tackle by Chidi Iwuoma)",0.000,0.410
1,4:06,1,10,DEN 22,3,0,Jake Plummer pass complete to Rod Smith for 13 yards (tackle by James Farrior),0.410,1.270
1,3:29,1,10,DEN 35,3,0,Mike Anderson right tackle for 6 yards,1.270,1.530
1,2:55,2,4,DEN 41,3,0,"Jake Plummer sacked by Joey Porter for -7 yards. Jake Plummer fumbles (forced by Joey Porter), recovered by Casey Hampton at DEN-39 (tackle by Ben Hamilton)",1.530,-2.980
1,2:47,1,10,DEN 39,3,0,Willie Parker right tackle for 1 yard (tackle by Nick Ferguson and Domonique Foxworth),2.980,2.580
1,2:09,2,9,DEN 38,3,0,Ben Roethlisberger pass complete to Heath Miller for 24 yards (tackle by Sam Brandon and Nick Ferguson),2.580,4.650
1,1:22,1,10,DEN 14,3,0,Jerome Bettis right tackle for -1 yards (tackle by D.J. Williams and John Lynch),4.650,3.850
1,0:38,2,11,DEN 15,3,0,Jerome Bettis up the middle for 3 yards (tackle by Michael Myers),3.850,3.430
Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,DEN 12,9,0,"Ben Roethlisberger pass complete to Cedrick Wilson for 12 yards, touchdown",3.430,7.000
2,,,,DEN 2,10,0,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,10,0,Jeff Reed kicks off 67 yards,0.000,1.600
2,14:54,1,10,DEN 40,10,0,Tatum Bell left end for no gain (tackle by Casey Hampton),1.600,1.050
2,14:13,2,10,DEN 40,10,0,Jake Plummer up the middle for 1 yard (tackle by Joey Porter),1.050,0.500
2,13:32,3,9,DEN 41,10,0,Jake Plummer pass complete to Tatum Bell for 8 yards (tackle by Troy Polamalu),0.500,-0.130
2,13:32,4,1,DEN 49,10,0,Mike Anderson for 1 yard (tackle by Brett Keisel),-0.130,2.260
2,12:16,1,10,DEN 50,10,0,Jake Plummer pass incomplete intended for Ashley Lelie (defended by James Farrior),2.260,1.710
2,12:12,2,10,DEN 50,10,0,Mike Anderson right tackle for 7 yards (tackle by Chris Hope and Joey Porter),1.710,1.950
2,11:32,3,3,PIT 43,10,0,Jake Plummer pass complete to Mike Anderson for 13 yards (tackle by Larry Foote),1.950,3.580
2,11:00,1,10,PIT 30,10,0,Jake Plummer pass complete to Jeb Putzier for 18 yards (tackle by Deshea Townsend),3.580,4.780
2,10:14,1,10,PIT 12,10,0,Jake Plummer pass incomplete intended for Ashley Lelie,4.780,4.100
2,10:09,,,,10,0,Timeout #1 by Denver Broncos,0.000,4.100
2,10:09,2,10,PIT 12,10,0,Jake Plummer pass incomplete intended for Mike Anderson,4.100,3.120
2,10:06,3,10,PIT 12,10,0,Mike Anderson right tackle for 7 yards (tackle by Chris Hope and Clark Haggans),3.120,3.020
2,9:27,4,3,PIT 5,10,3,Jason Elam 23 yard field goal good,3.020,3.000
2,,,,DEN 30,10,3,"Todd Sauerbrun kicks off 70 yards, touchback",0.000,0.280
2,9:23,1,10,PIT 20,10,3,Ben Roethlisberger pass incomplete,0.280,-0.270
2,9:18,2,10,PIT 20,10,3,Ben Roethlisberger pass complete to Cedrick Wilson for 17 yards (tackle by Domonique Foxworth),-0.270,1.400
2,8:41,,,,10,3,Timeout #2 by Denver Broncos,0.000,1.400
2,8:41,1,10,PIT 37,10,3,Willie Parker right tackle for no gain (tackle by Al Wilson and D.J. Williams),1.400,0.860
2,8:01,2,10,PIT 37,10,3,Ben Roethlisberger pass complete to Cedrick Wilson for 18 yards (tackle by Nick Ferguson),0.860,2.590
2,7:18,1,10,DEN 45,10,3,Ben Roethlisberger pass incomplete intended for Hines Ward,2.590,2.040
2,7:12,2,10,DEN 45,10,3,Ben Roethlisberger pass incomplete intended for Hines Ward (defended by Nick Ferguson),2.040,1.360
2,7:04,3,10,DEN 45,10,3,Ben Roethlisberger pass complete to Hines Ward for 21 yards (tackle by Al Wilson),1.360,3.970
2,6:21,1,10,DEN 24,10,3,Willie Parker right end for -1 yards (tackle by Al Wilson and Champ Bailey),3.970,3.300
2,5:34,2,11,DEN 25,10,3,Ben Roethlisberger up the middle for 2 yards (tackle by Michael Myers),3.300,2.870
2,4:50,3,9,DEN 23,10,3,Ben Roethlisberger pass complete to Antwaan Randle El for 10 yards (tackle by Nick Ferguson),2.870,4.710
2,4:06,1,10,DEN 13,10,3,"Penalty on Jerome Bettis: False Start, 5 yards (no play)",4.710,4.290
2,3:42,1,15,DEN 18,10,3,Ben Roethlisberger up the middle for 6 yards (tackle by Marco Coleman),4.290,4.220
2,2:59,2,9,DEN 12,10,3,Willie Parker left end for 1 yard (tackle by Trevor Pryce),4.220,3.450
2,2:14,,,,10,3,Timeout #1 by Pittsburgh Steelers,0.000,3.450
2,2:14,3,8,DEN 11,10,3,Ben Roethlisberger pass complete to Verron Haynes for 8 yards (tackle by John Lynch and Sam Brandon),3.450,6.510
2,2:00,1,3,DEN 3,16,3,"Jerome Bettis right tackle for 3 yards, touchdown",6.510,7.000
2,,,,DEN 2,17,3,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,17,3,"Jeff Reed kicks off 70 yards, touchback",0.000,0.280
2,1:55,1,10,DEN 20,17,3,Jake Plummer pass incomplete intended for Stephen Alexander is intercepted by Ike Taylor at DEN-39 and returned for 1 yard,0.280,-3.050
2,1:48,1,10,DEN 38,17,3,Willie Parker left end for 10 yards (tackle by Champ Bailey),3.050,3.710
2,1:43,1,10,DEN 28,17,3,Willie Parker left tackle for 14 yards (tackle by John Lynch),3.710,4.650
2,1:01,1,10,DEN 14,17,3,Jerome Bettis left tackle for 2 yards (tackle by Michael Myers and Al Wilson),4.650,4.330
2,0:19,2,8,DEN 12,17,3,"Jerome Bettis up the middle for 12 yards. Penalty on Hines Ward: Illegal Formation, 5 yards (no play)",4.330,3.590
2,0:15,,,,17,3,Timeout #2 by Pittsburgh Steelers,0.000,3.590
2,0:15,2,13,DEN 17,23,3,"Ben Roethlisberger pass complete to Hines Ward for 17 yards, touchdown",3.590,7.000
2,,,,DEN 2,24,3,"Jeff Reed kicks extra point good. Penalty on Trevor Pryce: Defensive Holding, 5 yards",0.000,0.000
2,,,,PIT 35,24,3,"Jeff Reed kicks off 51 yards, returned by Charlie Adams for 23 yards (tackle by Clint Kriewaldt)",0.000,1.400
2,0:03,1,10,DEN 37,24,3,Jake Plummer pass complete to Tatum Bell for 9 yards (tackle by Larry Foote and Aaron Smith),1.400,2.070
Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,24,3,"Todd Sauerbrun kicks off 66 yards, returned by Ike Taylor for 22 yards (tackle by Keith Burns)",0.000,0.670
3,14:55,1,10,PIT 26,24,3,Ben Roethlisberger pass complete to Hines Ward for 7 yards (tackle by Domonique Foxworth),0.670,1.070
3,14:15,2,3,PIT 33,24,3,Willie Parker left tackle for -3 yards (tackle by Domonique Foxworth),1.070,-0.030
3,13:31,3,6,PIT 30,24,3,Ben Roethlisberger pass complete to Hines Ward for 7 yards (tackle by Nick Ferguson),-0.030,1.400
3,12:45,1,10,PIT 37,24,3,"Willie Parker right tackle for 2 yards (tackle by Nick Ferguson). Willie Parker fumbles (forced by Nick Ferguson), ball out of bounds at PIT-39",1.400,1.130
3,12:39,2,8,PIT 39,24,3,Jerome Bettis right tackle for 5 yards (tackle by Michael Myers),1.130,1.090
