Unnamed: 0,ATL,NOR
First Downs,25,20
Rush-Yds-TDs,50-202-1,16-43-0
Cmp-Att-Yd-TD-INT,19-30-228-2-0,30-38-365-3-2
Sacked-Yards,2-13,2-10
Net Pass Yards,215,355
Total Yards,417,398
Fumbles-Lost,1-1,1-1
Turnovers,1,3
Penalties-Yards,6-40,4-38
Third Down Conv.,9-18,6-11
Fourth Down Conv.,2-3,1-2
Time of Possession,45:50,27:15
